Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Ballantine_FRF_22112022_1026	2024-04-11T21:46:23Z	NA	740.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	740.64	25	Ballantine	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	1m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/PX42.MP4	0	NA	NA
Ballantine_FRF_22112022_1026	2024-04-11T21:46:23Z	NA	740.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	740.64	25	Ballantine	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	0	H:/Individual recognition vids/Blind videos/PX42.MP4	0	NA	NA
Ballantine_FRF_22112022_1026	2024-04-11T21:46:23Z	NA	740.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	740.64	25	Ballantine	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	1m	NA	Vig	Time budget	Mid neck	START	0	H:/Individual recognition vids/Blind videos/PX42.MP4	0	NA	NA
Ballantine_FRF_22112022_1026	2024-04-11T21:46:23Z	NA	740.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	740.64	25	Ballantine	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	1.44	H:/Individual recognition vids/Blind videos/PX42.MP4	36	NA	NA
Ballantine_FRF_22112022_1026	2024-04-11T21:46:23Z	NA	740.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	740.64	25	Ballantine	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	2.92	H:/Individual recognition vids/Blind videos/PX42.MP4	73	NA	NA
Ballantine_FRF_22112022_1026	2024-04-11T21:46:23Z	NA	740.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	740.64	25	Ballantine	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	1m	NA	Mov	Locomotion	Away from speaker	START	3.44	H:/Individual recognition vids/Blind videos/PX42.MP4	86	NA	NA
Ballantine_FRF_22112022_1026	2024-04-11T21:46:23Z	NA	740.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	740.64	25	Ballantine	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	6.64	H:/Individual recognition vids/Blind videos/PX42.MP4	166	NA	NA
Ballantine_FRF_22112022_1026	2024-04-11T21:46:23Z	NA	740.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	740.64	25	Ballantine	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	1m	NA	Mov	Locomotion	Away from speaker	STOP	12.239	H:/Individual recognition vids/Blind videos/PX42.MP4	NA	NA	NA
Ballantine_FRF_22112022_1026	2024-04-11T21:46:23Z	NA	740.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	740.64	25	Ballantine	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	1m	NA	Vig	Time budget	Mid neck	STOP	12.239	H:/Individual recognition vids/Blind videos/PX42.MP4	NA	NA	NA
Ballantine_FRF_22112022_1026	2024-04-11T21:46:23Z	NA	740.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	740.64	25	Ballantine	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	1m	NA	Eat	Time budget	With kin	START	12.24	H:/Individual recognition vids/Blind videos/PX42.MP4	306	NA	NA
Ballantine_FRF_22112022_1026	2024-04-11T21:46:23Z	NA	740.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	740.64	25	Ballantine	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	27.2	H:/Individual recognition vids/Blind videos/PX42.MP4	680	NA	NA
