Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Ass	Interaction	Kin	START	0	G:/Individual recognition vids/Blind videos/CY11.MP4	0	NA	NA
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Rst	Time budget	With kin	START	0	G:/Individual recognition vids/Blind videos/CY11.MP4	0	NA	NA
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Voc	Reaction	Contact	POINT	76.04	G:/Individual recognition vids/Blind videos/CY11.MP4	1901	NA	In response to mate
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Voc	Reaction	Contact	POINT	79.88	G:/Individual recognition vids/Blind videos/CY11.MP4	1997	NA	In response to mate
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Voc	Reaction	Other	POINT	84.68	G:/Individual recognition vids/Blind videos/CY11.MP4	2117	NA	In response to mate
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Rst	Time budget	With kin	STOP	85.879	G:/Individual recognition vids/Blind videos/CY11.MP4	NA	NA	NA
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Vig	Time budget	Long neck	START	85.88	G:/Individual recognition vids/Blind videos/CY11.MP4	2147	NA	NA
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	87.28	G:/Individual recognition vids/Blind videos/CY11.MP4	2182	NA	NA
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Voc	Reaction	Other	POINT	88.28	G:/Individual recognition vids/Blind videos/CY11.MP4	2207	NA	In response to mate
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Voc	Reaction	Contact	POINT	91.44	G:/Individual recognition vids/Blind videos/CY11.MP4	2286	NA	In response to mate
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	91.8	G:/Individual recognition vids/Blind videos/CY11.MP4	2295	NA	NA
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Vig	Time budget	Long neck	STOP	98	G:/Individual recognition vids/Blind videos/CY11.MP4	2450	NA	NA
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Pre	Time budget	With kin	START	100.96	G:/Individual recognition vids/Blind videos/CY11.MP4	2524	NA	NA
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Hab	Playback phase	NA	START	102.08	G:/Individual recognition vids/Blind videos/CY11.MP4	2552	NA	NA
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	103.44	G:/Individual recognition vids/Blind videos/CY11.MP4	2586	NA	NA
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Voc	Reaction	Contact	POINT	107.72	G:/Individual recognition vids/Blind videos/CY11.MP4	2693	NA	NA
Bruce Springsteen_FRF_21112022_0913	2024-01-04T23:16:25Z	Triple/Edit	1040.64	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CY11.MP4	1040.64	25	Bruce Springsteen	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	108.8	G:/Individual recognition vids/Blind videos/CY11.MP4	2720	NA	NA
