Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Eastwood_PRF_12112022_0945	2024-01-20T11:47:12Z	NA	713.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS86.MP4	713.76	25	Eastwood	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	recruitment	2m	NA	Rst	Time budget	Alone	START	0	G:/Individual recognition vids/Blind videos/DS86.MP4	NA	NA	NA
Eastwood_PRF_12112022_0945	2024-01-20T11:47:12Z	NA	713.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS86.MP4	713.76	25	Eastwood	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	recruitment	2m	NA	Look	Reaction	At speaker	POINT	6.4	G:/Individual recognition vids/Blind videos/DS86.MP4	160	NA	NA
Eastwood_PRF_12112022_0945	2024-01-20T11:47:12Z	NA	713.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS86.MP4	713.76	25	Eastwood	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	recruitment	2m	NA	Voc	Reaction	Contact	POINT	85.88	G:/Individual recognition vids/Blind videos/DS86.MP4	2147	NA	NA
Eastwood_PRF_12112022_0945	2024-01-20T11:47:12Z	NA	713.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS86.MP4	713.76	25	Eastwood	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	recruitment	2m	NA	Hab	Playback phase	NA	START	97.68	G:/Individual recognition vids/Blind videos/DS86.MP4	2442	NA	NA
Eastwood_PRF_12112022_0945	2024-01-20T11:47:12Z	NA	713.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS86.MP4	713.76	25	Eastwood	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	recruitment	2m	NA	Voc	Reaction	Contact	POINT	105.12	G:/Individual recognition vids/Blind videos/DS86.MP4	2629	NA	NA
Eastwood_PRF_12112022_0945	2024-01-20T11:47:12Z	NA	713.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS86.MP4	713.76	25	Eastwood	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	recruitment	2m	NA	Htlt	Reaction	NA	POINT	108.92	G:/Individual recognition vids/Blind videos/DS86.MP4	2723	NA	NA
Eastwood_PRF_12112022_0945	2024-01-20T11:47:12Z	NA	713.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS86.MP4	713.76	25	Eastwood	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	108.92	G:/Individual recognition vids/Blind videos/DS86.MP4	2723	NA	NA
Eastwood_PRF_12112022_0945	2024-01-20T11:47:12Z	NA	713.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS86.MP4	713.76	25	Eastwood	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	recruitment	2m	NA	Rst	Time budget	Alone	STOP	109.639	G:/Individual recognition vids/Blind videos/DS86.MP4	NA	NA	NA
Eastwood_PRF_12112022_0945	2024-01-20T11:47:12Z	NA	713.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS86.MP4	713.76	25	Eastwood	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	recruitment	2m	NA	Vig	Time budget	Long neck	START	109.64	G:/Individual recognition vids/Blind videos/DS86.MP4	2741	NA	NA
Eastwood_PRF_12112022_0945	2024-01-20T11:47:12Z	NA	713.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS86.MP4	713.76	25	Eastwood	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	111.72	G:/Individual recognition vids/Blind videos/DS86.MP4	2793	NA	NA
Eastwood_PRF_12112022_0945	2024-01-20T11:47:12Z	NA	713.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS86.MP4	713.76	25	Eastwood	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	126.6	G:/Individual recognition vids/Blind videos/DS86.MP4	3165	NA	NA
Eastwood_PRF_12112022_0945	2024-01-20T11:47:12Z	NA	713.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS86.MP4	713.76	25	Eastwood	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	recruitment	2m	NA	Vig	Time budget	Long neck	STOP	132.32	G:/Individual recognition vids/Blind videos/DS86.MP4	3308	NA	NA
Eastwood_PRF_12112022_0945	2024-01-20T11:47:12Z	NA	713.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS86.MP4	713.76	25	Eastwood	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	133.52	G:/Individual recognition vids/Blind videos/DS86.MP4	3338	NA	NA
