Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Mov	Locomotion	Away from speaker	START	2.04	G:/Individual recognition vids/Blind videos/AP39.MP4	51	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Ass	Interaction	Kin	START	4.88	G:/Individual recognition vids/Blind videos/AP39.MP4	122	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	13.52	G:/Individual recognition vids/Blind videos/AP39.MP4	338	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Look	Reaction	At speaker	POINT	22.52	G:/Individual recognition vids/Blind videos/AP39.MP4	563	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	HSH	Reaction	NA	POINT	23.72	G:/Individual recognition vids/Blind videos/AP39.MP4	593	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	HSH	Reaction	NA	POINT	25.2	G:/Individual recognition vids/Blind videos/AP39.MP4	630	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Look	Reaction	At speaker	POINT	27.04	G:/Individual recognition vids/Blind videos/AP39.MP4	676	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Mov	Locomotion	Away from speaker	STOP	29.359	G:/Individual recognition vids/Blind videos/AP39.MP4	NA	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Pre	Time budget	With kin	START	29.36	G:/Individual recognition vids/Blind videos/AP39.MP4	734	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Pre	Time budget	With kin	STOP	45.24	G:/Individual recognition vids/Blind videos/AP39.MP4	1131	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Vig	Time budget	Mid neck	START	45.24	G:/Individual recognition vids/Blind videos/AP39.MP4	1131	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Look	Reaction	At speaker	POINT	45.28	G:/Individual recognition vids/Blind videos/AP39.MP4	1132	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Look	Reaction	At speaker	POINT	47.12	G:/Individual recognition vids/Blind videos/AP39.MP4	1178	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	48.72	G:/Individual recognition vids/Blind videos/AP39.MP4	1218	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Voc	Reaction	Contact	POINT	49.96	G:/Individual recognition vids/Blind videos/AP39.MP4	1249	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	54.52	G:/Individual recognition vids/Blind videos/AP39.MP4	1363	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Mov	Locomotion	Away from speaker	START	55.88	G:/Individual recognition vids/Blind videos/AP39.MP4	1397	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Fllw	Interaction	Kin	POINT	67.92	G:/Individual recognition vids/Blind videos/AP39.MP4	1698	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Hab	Playback phase	NA	START	76.88	G:/Individual recognition vids/Blind videos/AP39.MP4	1922	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	85.2	G:/Individual recognition vids/Blind videos/AP39.MP4	2130	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Ass	Interaction	Kin	STOP	95.16	G:/Individual recognition vids/Blind videos/AP39.MP4	2379	NA	NA
Idgie_FC_021120222_0828	2023-12-19T21:06:27Z	NA	694.44	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AP39.MP4	696.48	25	Idgie	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	95.16	G:/Individual recognition vids/Blind videos/AP39.MP4	2379	NA	NA
