Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Jumper_FRF_23112022_1058	2024-02-22T17:27:07Z	Triple/edit the third playback out	1102.6	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GM92.MP4	1103.04	25	Jumper	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	2m	NA	Ass	Interaction	Kin	START	0	G:/Individual recognition vids/Blind videos/GM92.MP4	0	NA	NA
Jumper_FRF_23112022_1058	2024-02-22T17:27:07Z	Triple/edit the third playback out	1102.6	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GM92.MP4	1103.04	25	Jumper	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	2m	NA	Rst	Time budget	With kin	START	0	G:/Individual recognition vids/Blind videos/GM92.MP4	0	NA	NA
Jumper_FRF_23112022_1058	2024-02-22T17:27:07Z	Triple/edit the third playback out	1102.6	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GM92.MP4	1103.04	25	Jumper	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	2m	NA	Htlt	Reaction	NA	POINT	51.72	G:/Individual recognition vids/Blind videos/GM92.MP4	1293	NA	NA
Jumper_FRF_23112022_1058	2024-02-22T17:27:07Z	Triple/edit the third playback out	1102.6	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GM92.MP4	1103.04	25	Jumper	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	51.72	G:/Individual recognition vids/Blind videos/GM92.MP4	1293	NA	NA
Jumper_FRF_23112022_1058	2024-02-22T17:27:07Z	Triple/edit the third playback out	1102.6	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GM92.MP4	1103.04	25	Jumper	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	2m	NA	Hab	Playback phase	NA	START	70.48	G:/Individual recognition vids/Blind videos/GM92.MP4	1762	NA	NA
Jumper_FRF_23112022_1058	2024-02-22T17:27:07Z	Triple/edit the third playback out	1102.6	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GM92.MP4	1103.04	25	Jumper	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	2m	NA	Htlt	Reaction	NA	POINT	78.6	G:/Individual recognition vids/Blind videos/GM92.MP4	1965	NA	NA
Jumper_FRF_23112022_1058	2024-02-22T17:27:07Z	Triple/edit the third playback out	1102.6	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GM92.MP4	1103.04	25	Jumper	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	78.6	G:/Individual recognition vids/Blind videos/GM92.MP4	1965	NA	NA
Jumper_FRF_23112022_1058	2024-02-22T17:27:07Z	Triple/edit the third playback out	1102.6	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GM92.MP4	1103.04	25	Jumper	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	2m	NA	Rst	Time budget	With kin	STOP	80.679	G:/Individual recognition vids/Blind videos/GM92.MP4	NA	NA	NA
Jumper_FRF_23112022_1058	2024-02-22T17:27:07Z	Triple/edit the third playback out	1102.6	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GM92.MP4	1103.04	25	Jumper	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	2m	NA	Vig	Time budget	Short Neck	START	80.68	G:/Individual recognition vids/Blind videos/GM92.MP4	2017	NA	NA
Jumper_FRF_23112022_1058	2024-02-22T17:27:07Z	Triple/edit the third playback out	1102.6	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GM92.MP4	1103.04	25	Jumper	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	2m	NA	Vig	Time budget	Short Neck	STOP	84.799	G:/Individual recognition vids/Blind videos/GM92.MP4	NA	NA	NA
Jumper_FRF_23112022_1058	2024-02-22T17:27:07Z	Triple/edit the third playback out	1102.6	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GM92.MP4	1103.04	25	Jumper	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	2m	NA	Rst	Time budget	With kin	START	84.8	G:/Individual recognition vids/Blind videos/GM92.MP4	2120	NA	NA
Jumper_FRF_23112022_1058	2024-02-22T17:27:07Z	Triple/edit the third playback out	1102.6	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GM92.MP4	1103.04	25	Jumper	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	recruitment	2m	NA	Htlt	Reaction	NA	POINT	101.24	G:/Individual recognition vids/Blind videos/GM92.MP4	2531	NA	NA
