Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Lando_FC_12112022_0911	2024-07-15T23:16:36Z	NA	714.24	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.24	25	Lando	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Recruitment	2m	NA	Pre	Time budget	Alone	START	0	H:/Individual recognition vids/Blind videos/ZY44.MP4	0	NA	NA
Lando_FC_12112022_0911	2024-07-15T23:16:36Z	NA	714.24	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.24	25	Lando	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Recruitment	2m	NA	FVO	Reaction	Distance	POINT	1.72	H:/Individual recognition vids/Blind videos/ZY44.MP4	43	NA	NA
Lando_FC_12112022_0911	2024-07-15T23:16:36Z	NA	714.24	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.24	25	Lando	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	9.12	H:/Individual recognition vids/Blind videos/ZY44.MP4	228	NA	NA
Lando_FC_12112022_0911	2024-07-15T23:16:36Z	NA	714.24	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.24	25	Lando	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Recruitment	2m	NA	Pre	Time budget	Alone	STOP	9.599	H:/Individual recognition vids/Blind videos/ZY44.MP4	NA	NA	NA
Lando_FC_12112022_0911	2024-07-15T23:16:36Z	NA	714.24	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.24	25	Lando	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Recruitment	2m	NA	Vig	Time budget	Short Neck	START	9.6	H:/Individual recognition vids/Blind videos/ZY44.MP4	240	NA	NA
Lando_FC_12112022_0911	2024-07-15T23:16:36Z	NA	714.24	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.24	25	Lando	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	10.44	H:/Individual recognition vids/Blind videos/ZY44.MP4	261	NA	NA
Lando_FC_12112022_0911	2024-07-15T23:16:36Z	NA	714.24	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.24	25	Lando	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Recruitment	2m	NA	Vig	Time budget	Short Neck	STOP	12.439	H:/Individual recognition vids/Blind videos/ZY44.MP4	NA	NA	NA
Lando_FC_12112022_0911	2024-07-15T23:16:36Z	NA	714.24	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.24	25	Lando	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Recruitment	2m	NA	Pre	Time budget	Alone	START	12.44	H:/Individual recognition vids/Blind videos/ZY44.MP4	311	NA	NA
Lando_FC_12112022_0911	2024-07-15T23:16:36Z	NA	714.24	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.24	25	Lando	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Recruitment	2m	NA	HSH	Reaction	NA	POINT	16.72	H:/Individual recognition vids/Blind videos/ZY44.MP4	418	NA	NA
Lando_FC_12112022_0911	2024-07-15T23:16:36Z	NA	714.24	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.24	25	Lando	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	16.8	H:/Individual recognition vids/Blind videos/ZY44.MP4	420	NA	NA
Lando_FC_12112022_0911	2024-07-15T23:16:36Z	NA	714.24	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.24	25	Lando	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	23.56	H:/Individual recognition vids/Blind videos/ZY44.MP4	589	NA	NA
Lando_FC_12112022_0911	2024-07-15T23:16:36Z	NA	714.24	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.24	25	Lando	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	37.4	H:/Individual recognition vids/Blind videos/ZY44.MP4	935	NA	NA
Lando_FC_12112022_0911	2024-07-15T23:16:36Z	NA	714.24	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.24	25	Lando	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	38.44	H:/Individual recognition vids/Blind videos/ZY44.MP4	961	NA	NA
Lando_FC_12112022_0911	2024-07-15T23:16:36Z	NA	714.24	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.24	25	Lando	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	42.04	H:/Individual recognition vids/Blind videos/ZY44.MP4	1051	NA	NA
