Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	0	G:/Individual recognition vids/Blind videos/GP70.MP4	0	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Eat	Time budget	With kin	START	0	G:/Individual recognition vids/Blind videos/GP70.MP4	0	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Eat	Time budget	With kin	STOP	4.919	G:/Individual recognition vids/Blind videos/GP70.MP4	NA	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Mov	Locomotion	Towards speaker	START	4.92	G:/Individual recognition vids/Blind videos/GP70.MP4	123	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	6.04	G:/Individual recognition vids/Blind videos/GP70.MP4	151	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	9.96	G:/Individual recognition vids/Blind videos/GP70.MP4	249	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	16.64	G:/Individual recognition vids/Blind videos/GP70.MP4	416	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	19.92	G:/Individual recognition vids/Blind videos/GP70.MP4	498	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	22.24	G:/Individual recognition vids/Blind videos/GP70.MP4	556	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Ass	Interaction	Kin	STOP	23.16	G:/Individual recognition vids/Blind videos/GP70.MP4	579	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	25.4	G:/Individual recognition vids/Blind videos/GP70.MP4	635	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	26.6	G:/Individual recognition vids/Blind videos/GP70.MP4	665	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	START	27.44	G:/Individual recognition vids/Blind videos/GP70.MP4	686	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	31.36	G:/Individual recognition vids/Blind videos/GP70.MP4	784	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	36.4	G:/Individual recognition vids/Blind videos/GP70.MP4	910	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	46.4	G:/Individual recognition vids/Blind videos/GP70.MP4	1160	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	49.48	G:/Individual recognition vids/Blind videos/GP70.MP4	1237	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	50.88	G:/Individual recognition vids/Blind videos/GP70.MP4	1272	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	53.28	G:/Individual recognition vids/Blind videos/GP70.MP4	1332	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	55.96	G:/Individual recognition vids/Blind videos/GP70.MP4	1399	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	57.4	G:/Individual recognition vids/Blind videos/GP70.MP4	1435	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	60.56	G:/Individual recognition vids/Blind videos/GP70.MP4	1514	NA	NA
Natalie_FC_13102022_1005	2024-02-23T21:24:40Z	NA	701.76	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/GP70.MP4	701.76	25	Natalie	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	62.2	G:/Individual recognition vids/Blind videos/GP70.MP4	1555	NA	NA
