Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/QN56.MP4	0	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	0	H:/Individual recognition vids/Blind videos/QN56.MP4	0	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Vig	Time budget	Short Neck	START	0	H:/Individual recognition vids/Blind videos/QN56.MP4	0	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	1.68	H:/Individual recognition vids/Blind videos/QN56.MP4	42	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	4.04	H:/Individual recognition vids/Blind videos/QN56.MP4	101	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Vig	Time budget	Short Neck	STOP	5.959	H:/Individual recognition vids/Blind videos/QN56.MP4	NA	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Rst	Time budget	With kin	START	5.96	H:/Individual recognition vids/Blind videos/QN56.MP4	149	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	11.04	H:/Individual recognition vids/Blind videos/QN56.MP4	276	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	104.64	H:/Individual recognition vids/Blind videos/QN56.MP4	2616	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Hab	Playback phase	NA	START	112.52	H:/Individual recognition vids/Blind videos/QN56.MP4	2813	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	127.72	H:/Individual recognition vids/Blind videos/QN56.MP4	3193	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	130.12	H:/Individual recognition vids/Blind videos/QN56.MP4	3253	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	131.68	H:/Individual recognition vids/Blind videos/QN56.MP4	3292	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	134	H:/Individual recognition vids/Blind videos/QN56.MP4	3350	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	136.16	H:/Individual recognition vids/Blind videos/QN56.MP4	3404	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	143.92	H:/Individual recognition vids/Blind videos/QN56.MP4	3598	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	147.84	H:/Individual recognition vids/Blind videos/QN56.MP4	3696	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	149.2	H:/Individual recognition vids/Blind videos/QN56.MP4	3730	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Htlt	Reaction	NA	POINT	196.28	H:/Individual recognition vids/Blind videos/QN56.MP4	4907	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	196.28	H:/Individual recognition vids/Blind videos/QN56.MP4	4907	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Htlt	Reaction	NA	POINT	216.08	H:/Individual recognition vids/Blind videos/QN56.MP4	5402	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	216.08	H:/Individual recognition vids/Blind videos/QN56.MP4	5402	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	231.64	H:/Individual recognition vids/Blind videos/QN56.MP4	5791	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Rst	Time budget	With kin	STOP	273.839	H:/Individual recognition vids/Blind videos/QN56.MP4	NA	NA	NA
Ornella_PRF_17102022_1015	2024-04-12T19:07:31Z	NA	761.76	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/QN56.MP4	761.76	25	Ornella	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	273.84	H:/Individual recognition vids/Blind videos/QN56.MP4	6846	NA	NA
