Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
DZ53	2024-01-21 20:44:17		720.960	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DZ53.MP4	720.960	25.000	Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m		Vig	Time budget	Mid neck	START	0.000	G:/Individual recognition vids/Blind videos/DZ53.MP4	0	NA	
DZ53	2024-01-21 20:44:17		720.960	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DZ53.MP4	720.960	25.000	Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m		Look	Reaction	At speaker	POINT	0.720	G:/Individual recognition vids/Blind videos/DZ53.MP4	18	NA	
DZ53	2024-01-21 20:44:17		720.960	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DZ53.MP4	720.960	25.000	Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	4.160	G:/Individual recognition vids/Blind videos/DZ53.MP4	104	NA	
DZ53	2024-01-21 20:44:17		720.960	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DZ53.MP4	720.960	25.000	Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m		Vig	Time budget	Mid neck	STOP	9.479	G:/Individual recognition vids/Blind videos/DZ53.MP4	NA	NA	
DZ53	2024-01-21 20:44:17		720.960	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DZ53.MP4	720.960	25.000	Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m		Eat	Time budget	Alone	START	9.480	G:/Individual recognition vids/Blind videos/DZ53.MP4	237	NA	
DZ53	2024-01-21 20:44:17		720.960	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DZ53.MP4	720.960	25.000	Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m		HSH	Reaction		POINT	13.920	G:/Individual recognition vids/Blind videos/DZ53.MP4	348	NA	
DZ53	2024-01-21 20:44:17		720.960	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DZ53.MP4	720.960	25.000	Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m		Eat	Time budget	Alone	STOP	14.399	G:/Individual recognition vids/Blind videos/DZ53.MP4	NA	NA	
DZ53	2024-01-21 20:44:17		720.960	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DZ53.MP4	720.960	25.000	Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m		Look	Reaction	At speaker	POINT	14.400	G:/Individual recognition vids/Blind videos/DZ53.MP4	360	NA	
DZ53	2024-01-21 20:44:17		720.960	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DZ53.MP4	720.960	25.000	Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m		Vig	Time budget	Mid neck	START	14.400	G:/Individual recognition vids/Blind videos/DZ53.MP4	360	NA	
DZ53	2024-01-21 20:44:17		720.960	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DZ53.MP4	720.960	25.000	Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m		Look	Reaction	At speaker	POINT	16.120	G:/Individual recognition vids/Blind videos/DZ53.MP4	403	NA	
DZ53	2024-01-21 20:44:17		720.960	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DZ53.MP4	720.960	25.000	Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	20.800	G:/Individual recognition vids/Blind videos/DZ53.MP4	520	NA	
DZ53	2024-01-21 20:44:17		720.960	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DZ53.MP4	720.960	25.000	Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m		Look	Reaction	At speaker	POINT	21.720	G:/Individual recognition vids/Blind videos/DZ53.MP4	543	NA	
DZ53	2024-01-21 20:44:17		720.960	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DZ53.MP4	720.960	25.000	Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	23.040	G:/Individual recognition vids/Blind videos/DZ53.MP4	576	NA	
DZ53	2024-01-21 20:44:17		720.960	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DZ53.MP4	720.960	25.000	Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m		Vig	Time budget	Mid neck	STOP	24.359	G:/Individual recognition vids/Blind videos/DZ53.MP4	NA	NA	
