Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Pre	Time budget	Alone	START	2.360	G:/Individual recognition vids/Blind videos/EA40.MP4	59	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	3.440	G:/Individual recognition vids/Blind videos/EA40.MP4	86	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Voc	Reaction	Recruitment	POINT	4.680	G:/Individual recognition vids/Blind videos/EA40.MP4	117	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Pre	Time budget	Alone	STOP	6.999	G:/Individual recognition vids/Blind videos/EA40.MP4	NA	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	7.000	G:/Individual recognition vids/Blind videos/EA40.MP4	175	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Vig	Time budget	Long neck	START	7.000	G:/Individual recognition vids/Blind videos/EA40.MP4	175	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	7.680	G:/Individual recognition vids/Blind videos/EA40.MP4	192	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	8.800	G:/Individual recognition vids/Blind videos/EA40.MP4	220	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	10.960	G:/Individual recognition vids/Blind videos/EA40.MP4	274	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	12.240	G:/Individual recognition vids/Blind videos/EA40.MP4	306	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Voc	Reaction	Recruitment	POINT	14.240	G:/Individual recognition vids/Blind videos/EA40.MP4	356	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	14.360	G:/Individual recognition vids/Blind videos/EA40.MP4	359	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	19.680	G:/Individual recognition vids/Blind videos/EA40.MP4	492	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Voc	Reaction	Recruitment	POINT	20.080	G:/Individual recognition vids/Blind videos/EA40.MP4	502	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Pre	Time budget	Alone	START	23.199	G:/Individual recognition vids/Blind videos/EA40.MP4	NA	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Mov	Locomotion	Towards speaker	START	23.200	G:/Individual recognition vids/Blind videos/EA40.MP4	580	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Voc	Reaction	Recruitment	POINT	24.400	G:/Individual recognition vids/Blind videos/EA40.MP4	610	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Voc	Reaction	Recruitment	POINT	30.520	G:/Individual recognition vids/Blind videos/EA40.MP4	763	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Pre	Time budget	Alone	STOP	31.719	G:/Individual recognition vids/Blind videos/EA40.MP4	NA	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Mov	Locomotion	Towards speaker	STOP	31.720	G:/Individual recognition vids/Blind videos/EA40.MP4	793	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Vig	Time budget	Long neck	STOP	31.720	G:/Individual recognition vids/Blind videos/EA40.MP4	793	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Mov	Locomotion	Away from speaker	START	32.800	G:/Individual recognition vids/Blind videos/EA40.MP4	820	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Voc	Reaction	Recruitment	POINT	32.960	G:/Individual recognition vids/Blind videos/EA40.MP4	824	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	34.240	G:/Individual recognition vids/Blind videos/EA40.MP4	856	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Voc	Reaction	Recruitment	POINT	36.480	G:/Individual recognition vids/Blind videos/EA40.MP4	912	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	38.560	G:/Individual recognition vids/Blind videos/EA40.MP4	964	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Vig	Time budget	Mid neck	START	40.280	G:/Individual recognition vids/Blind videos/EA40.MP4	1007	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	41.320	G:/Individual recognition vids/Blind videos/EA40.MP4	1033	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Voc	Reaction	Contact	POINT	41.720	G:/Individual recognition vids/Blind videos/EA40.MP4	1043	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	42.920	G:/Individual recognition vids/Blind videos/EA40.MP4	1073	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Voc	Reaction	Recruitment	POINT	43.240	G:/Individual recognition vids/Blind videos/EA40.MP4	1081	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	44.720	G:/Individual recognition vids/Blind videos/EA40.MP4	1118	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Voc	Reaction	Recruitment	POINT	47.280	G:/Individual recognition vids/Blind videos/EA40.MP4	1182	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	47.720	G:/Individual recognition vids/Blind videos/EA40.MP4	1193	NA	
EA40	2024-01-21 23:26:45		781.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EA40.MP4	783.840	25.000	Einstein	PRF		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	49.960	G:/Individual recognition vids/Blind videos/EA40.MP4	1249	NA	
