Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
PE20	2024-04-09 17:40:59		784.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PE20.MP4	784.800	25.000	Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/PE20.MP4	0	NA	
PE20	2024-04-09 17:40:59		784.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PE20.MP4	784.800	25.000	Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	0.000	H:/Individual recognition vids/Blind videos/PE20.MP4	0	NA	
PE20	2024-04-09 17:40:59		784.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PE20.MP4	784.800	25.000	Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Vig	Time budget	Long neck	START	0.000	H:/Individual recognition vids/Blind videos/PE20.MP4	0	NA	
PE20	2024-04-09 17:40:59		784.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PE20.MP4	784.800	25.000	Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	1.280	H:/Individual recognition vids/Blind videos/PE20.MP4	32	NA	
PE20	2024-04-09 17:40:59		784.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PE20.MP4	784.800	25.000	Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	4.200	H:/Individual recognition vids/Blind videos/PE20.MP4	105	NA	
PE20	2024-04-09 17:40:59		784.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PE20.MP4	784.800	25.000	Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Voc	Reaction	Recruitment	POINT	6.000	H:/Individual recognition vids/Blind videos/PE20.MP4	150	NA	
PE20	2024-04-09 17:40:59		784.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PE20.MP4	784.800	25.000	Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	6.160	H:/Individual recognition vids/Blind videos/PE20.MP4	154	NA	
PE20	2024-04-09 17:40:59		784.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PE20.MP4	784.800	25.000	Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	8.880	H:/Individual recognition vids/Blind videos/PE20.MP4	222	NA	
PE20	2024-04-09 17:40:59		784.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PE20.MP4	784.800	25.000	Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Voc	Reaction	Recruitment	POINT	9.960	H:/Individual recognition vids/Blind videos/PE20.MP4	249	NA	
PE20	2024-04-09 17:40:59		784.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PE20.MP4	784.800	25.000	Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	11.400	H:/Individual recognition vids/Blind videos/PE20.MP4	285	NA	
PE20	2024-04-09 17:40:59		784.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PE20.MP4	784.800	25.000	Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	12.560	H:/Individual recognition vids/Blind videos/PE20.MP4	314	NA	
PE20	2024-04-09 17:40:59		784.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PE20.MP4	784.800	25.000	Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	15.840	H:/Individual recognition vids/Blind videos/PE20.MP4	396	NA	
PE20	2024-04-09 17:40:59		784.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PE20.MP4	784.800	25.000	Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	18.000	H:/Individual recognition vids/Blind videos/PE20.MP4	450	NA	
PE20	2024-04-09 17:40:59		784.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PE20.MP4	784.800	25.000	Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	20.040	H:/Individual recognition vids/Blind videos/PE20.MP4	501	NA	
PE20	2024-04-09 17:40:59		784.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PE20.MP4	784.800	25.000	Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Voc	Reaction	Recruitment	POINT	20.440	H:/Individual recognition vids/Blind videos/PE20.MP4	511	NA	
PE20	2024-04-09 17:40:59		784.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PE20.MP4	784.800	25.000	Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Other	POINT	22.120	H:/Individual recognition vids/Blind videos/PE20.MP4	553	NA	
