Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
PX73	2024-04-12 00:47:23		819.840	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX73.MP4	819.840	25.000	Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/PX73.MP4	0	NA	
PX73	2024-04-12 00:47:23		819.840	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX73.MP4	819.840	25.000	Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	0.000	H:/Individual recognition vids/Blind videos/PX73.MP4	0	NA	
PX73	2024-04-12 00:47:23		819.840	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX73.MP4	819.840	25.000	Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	1.920	H:/Individual recognition vids/Blind videos/PX73.MP4	48	NA	
PX73	2024-04-12 00:47:23		819.840	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX73.MP4	819.840	25.000	Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	START	2.800	H:/Individual recognition vids/Blind videos/PX73.MP4	70	NA	
PX73	2024-04-12 00:47:23		819.840	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX73.MP4	819.840	25.000	Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	19.200	H:/Individual recognition vids/Blind videos/PX73.MP4	480	NA	
PX73	2024-04-12 00:47:23		819.840	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX73.MP4	819.840	25.000	Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	24.960	H:/Individual recognition vids/Blind videos/PX73.MP4	624	NA	
PX73	2024-04-12 00:47:23		819.840	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX73.MP4	819.840	25.000	Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	29.960	H:/Individual recognition vids/Blind videos/PX73.MP4	749	NA	
PX73	2024-04-12 00:47:23		819.840	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX73.MP4	819.840	25.000	Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	36.240	H:/Individual recognition vids/Blind videos/PX73.MP4	906	NA	
PX73	2024-04-12 00:47:23		819.840	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX73.MP4	819.840	25.000	Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	43.040	H:/Individual recognition vids/Blind videos/PX73.MP4	1076	NA	
PX73	2024-04-12 00:47:23		819.840	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX73.MP4	819.840	25.000	Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	STOP	43.279	H:/Individual recognition vids/Blind videos/PX73.MP4	NA	NA	
PX73	2024-04-12 00:47:23		819.840	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX73.MP4	819.840	25.000	Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m		Vig	Time budget	Mid neck	START	43.280	H:/Individual recognition vids/Blind videos/PX73.MP4	1082	NA	
PX73	2024-04-12 00:47:23		819.840	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX73.MP4	819.840	25.000	Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m		Vig	Time budget	Mid neck	STOP	46.119	H:/Individual recognition vids/Blind videos/PX73.MP4	NA	NA	
PX73	2024-04-12 00:47:23		819.840	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX73.MP4	819.840	25.000	Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	START	46.120	H:/Individual recognition vids/Blind videos/PX73.MP4	1153	NA	
PX73	2024-04-12 00:47:23		819.840	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX73.MP4	819.840	25.000	Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	63.160	H:/Individual recognition vids/Blind videos/PX73.MP4	1579	NA	
PX73	2024-04-12 00:47:23		819.840	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX73.MP4	819.840	25.000	Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	73.960	H:/Individual recognition vids/Blind videos/PX73.MP4	1849	NA	
PX73	2024-04-12 00:47:23		819.840	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX73.MP4	819.840	25.000	Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	STOP	83.399	H:/Individual recognition vids/Blind videos/PX73.MP4	NA	NA	
