Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Ass	Interaction	Kin	START	0.000	G:/Individual recognition vids/Blind videos/BF67.MP4	0	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	5.280	G:/Individual recognition vids/Blind videos/BF67.MP4	132	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Mov	Locomotion	Away from speaker	START	5.760	G:/Individual recognition vids/Blind videos/BF67.MP4	144	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Fllw	Interaction	Kin	POINT	9.240	G:/Individual recognition vids/Blind videos/BF67.MP4	231	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	13.520	G:/Individual recognition vids/Blind videos/BF67.MP4	338	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Mov	Locomotion	Away from speaker	STOP	21.239	G:/Individual recognition vids/Blind videos/BF67.MP4	NA	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Eat	Time budget	With kin	START	21.240	G:/Individual recognition vids/Blind videos/BF67.MP4	531	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	26.160	G:/Individual recognition vids/Blind videos/BF67.MP4	654	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	30.480	G:/Individual recognition vids/Blind videos/BF67.MP4	762	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	34.960	G:/Individual recognition vids/Blind videos/BF67.MP4	874	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	40.600	G:/Individual recognition vids/Blind videos/BF67.MP4	1015	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	56.320	G:/Individual recognition vids/Blind videos/BF67.MP4	1408	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	61.640	G:/Individual recognition vids/Blind videos/BF67.MP4	1541	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	62.720	G:/Individual recognition vids/Blind videos/BF67.MP4	1568	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	70.760	G:/Individual recognition vids/Blind videos/BF67.MP4	1769	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	75.720	G:/Individual recognition vids/Blind videos/BF67.MP4	1893	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	78.360	G:/Individual recognition vids/Blind videos/BF67.MP4	1959	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	85.720	G:/Individual recognition vids/Blind videos/BF67.MP4	2143	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Htlt	Reaction		POINT	89.080	G:/Individual recognition vids/Blind videos/BF67.MP4	2227	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	91.080	G:/Individual recognition vids/Blind videos/BF67.MP4	2277	NA	
BF67	2023-12-28 19:15:29	Triple/EDIT	1055.520	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	99.800	G:/Individual recognition vids/Blind videos/BF67.MP4	2495	NA	
