Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Ass	Interaction	Kin	START	0.000	G:/Individual recognition vids/Blind videos/BN74.MP4	0	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Pre	Time budget	With kin	START	0.000	G:/Individual recognition vids/Blind videos/BN74.MP4	0	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	4.840	G:/Individual recognition vids/Blind videos/BN74.MP4	121	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	13.880	G:/Individual recognition vids/Blind videos/BN74.MP4	347	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	26.560	G:/Individual recognition vids/Blind videos/BN74.MP4	664	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Pre	Time budget	With kin	STOP	27.239	G:/Individual recognition vids/Blind videos/BN74.MP4	NA	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Vig	Time budget	Long neck	START	27.240	G:/Individual recognition vids/Blind videos/BN74.MP4	681	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Vig	Time budget	Long neck	STOP	41.879	G:/Individual recognition vids/Blind videos/BN74.MP4	NA	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Pre	Time budget	With kin	START	41.880	G:/Individual recognition vids/Blind videos/BN74.MP4	1047	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	60.200	G:/Individual recognition vids/Blind videos/BN74.MP4	1505	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	68.960	G:/Individual recognition vids/Blind videos/BN74.MP4	1724	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	70.040	G:/Individual recognition vids/Blind videos/BN74.MP4	1751	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	72.920	G:/Individual recognition vids/Blind videos/BN74.MP4	1823	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	106.280	G:/Individual recognition vids/Blind videos/BN74.MP4	2657	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	108.480	G:/Individual recognition vids/Blind videos/BN74.MP4	2712	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	116.160	G:/Individual recognition vids/Blind videos/BN74.MP4	2904	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	124.760	G:/Individual recognition vids/Blind videos/BN74.MP4	3119	NA	
BN74	2023-12-31 01:15:25		758.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BN74.MP4	0.0	758.880	25.000	JB	FC		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m		Hab	Playback phase		START	125.600	G:/Individual recognition vids/Blind videos/BN74.MP4	3140	NA	
