Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
CH23	2024-01-02 22:38:51		750.240	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CH23.MP4	0.0	750.240	25.000	Lupin	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Ass	Interaction	Kin	START	0.000	G:/Individual recognition vids/Blind videos/CH23.MP4	0	NA	
CH23	2024-01-02 22:38:51		750.240	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CH23.MP4	0.0	750.240	25.000	Lupin	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Vig	Time budget	Long neck	START	0.000	G:/Individual recognition vids/Blind videos/CH23.MP4	0	NA	
CH23	2024-01-02 22:38:51		750.240	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CH23.MP4	0.0	750.240	25.000	Lupin	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	5.680	G:/Individual recognition vids/Blind videos/CH23.MP4	142	NA	
CH23	2024-01-02 22:38:51		750.240	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CH23.MP4	0.0	750.240	25.000	Lupin	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	7.160	G:/Individual recognition vids/Blind videos/CH23.MP4	179	NA	
CH23	2024-01-02 22:38:51		750.240	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CH23.MP4	0.0	750.240	25.000	Lupin	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	8.920	G:/Individual recognition vids/Blind videos/CH23.MP4	223	NA	
CH23	2024-01-02 22:38:51		750.240	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CH23.MP4	0.0	750.240	25.000	Lupin	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	15.000	G:/Individual recognition vids/Blind videos/CH23.MP4	375	NA	
CH23	2024-01-02 22:38:51		750.240	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CH23.MP4	0.0	750.240	25.000	Lupin	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	30.840	G:/Individual recognition vids/Blind videos/CH23.MP4	771	NA	
CH23	2024-01-02 22:38:51		750.240	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CH23.MP4	0.0	750.240	25.000	Lupin	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	32.800	G:/Individual recognition vids/Blind videos/CH23.MP4	820	NA	
CH23	2024-01-02 22:38:51		750.240	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CH23.MP4	0.0	750.240	25.000	Lupin	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Voc	Reaction	Contact	POINT	34.720	G:/Individual recognition vids/Blind videos/CH23.MP4	868	NA	
CH23	2024-01-02 22:38:51		750.240	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CH23.MP4	0.0	750.240	25.000	Lupin	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	34.760	G:/Individual recognition vids/Blind videos/CH23.MP4	869	NA	
