Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	11.760	G:/Individual recognition vids/Blind videos/JX49.MP4	294	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Vig	Time budget	Mid neck	START	11.760	G:/Individual recognition vids/Blind videos/JX49.MP4	294	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Vig	Time budget	Mid neck	STOP	13.839	G:/Individual recognition vids/Blind videos/JX49.MP4	NA	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Eat	Time budget	Alone	START	13.840	G:/Individual recognition vids/Blind videos/JX49.MP4	346	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	19.920	G:/Individual recognition vids/Blind videos/JX49.MP4	498	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Eat	Time budget	Alone	STOP	20.279	G:/Individual recognition vids/Blind videos/JX49.MP4	NA	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Vig	Time budget	Mid neck	START	20.280	G:/Individual recognition vids/Blind videos/JX49.MP4	507	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Vig	Time budget	Mid neck	STOP	22.079	G:/Individual recognition vids/Blind videos/JX49.MP4	NA	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Eat	Time budget	Alone	START	22.080	G:/Individual recognition vids/Blind videos/JX49.MP4	552	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	29.200	G:/Individual recognition vids/Blind videos/JX49.MP4	730	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Eat	Time budget	Alone	STOP	30.119	G:/Individual recognition vids/Blind videos/JX49.MP4	NA	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Vig	Time budget	Mid neck	START	30.120	G:/Individual recognition vids/Blind videos/JX49.MP4	753	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	43.640	G:/Individual recognition vids/Blind videos/JX49.MP4	1091	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Vig	Time budget	Mid neck	STOP	46.079	G:/Individual recognition vids/Blind videos/JX49.MP4	NA	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Eat	Time budget	Alone	START	46.080	G:/Individual recognition vids/Blind videos/JX49.MP4	1152	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	46.960	G:/Individual recognition vids/Blind videos/JX49.MP4	1174	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Eat	Time budget	Alone	STOP	61.039	G:/Individual recognition vids/Blind videos/JX49.MP4	NA	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Vig	Time budget	Mid neck	START	61.040	G:/Individual recognition vids/Blind videos/JX49.MP4	1526	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	61.400	G:/Individual recognition vids/Blind videos/JX49.MP4	1535	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Vig	Time budget	Mid neck	STOP	67.999	G:/Individual recognition vids/Blind videos/JX49.MP4	NA	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Eat	Time budget	Alone	START	68.000	G:/Individual recognition vids/Blind videos/JX49.MP4	1700	NA	
JX49	2024-03-06 22:19:33		678.480	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	0.0	690.240	25.000	Lausbursch	PRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	73.000	G:/Individual recognition vids/Blind videos/JX49.MP4	1825	NA	
