Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
LO30	2024-03-12 02:43:38		708.000	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/LO30.MP4	0.0	708.000	25.000	Diamante	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Ass	Interaction	Kin	START	0.000	G:/Individual recognition vids/Blind videos/LO30.MP4	0	NA	
LO30	2024-03-12 02:43:38		708.000	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/LO30.MP4	0.0	708.000	25.000	Diamante	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Rst	Time budget	With kin	START	0.000	G:/Individual recognition vids/Blind videos/LO30.MP4	0	NA	
LO30	2024-03-12 02:43:38		708.000	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/LO30.MP4	0.0	708.000	25.000	Diamante	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Htlt	Reaction		POINT	42.040	G:/Individual recognition vids/Blind videos/LO30.MP4	1051	NA	
LO30	2024-03-12 02:43:38		708.000	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/LO30.MP4	0.0	708.000	25.000	Diamante	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	42.040	G:/Individual recognition vids/Blind videos/LO30.MP4	1051	NA	
LO30	2024-03-12 02:43:38		708.000	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/LO30.MP4	0.0	708.000	25.000	Diamante	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Htlt	Reaction		POINT	43.880	G:/Individual recognition vids/Blind videos/LO30.MP4	1097	NA	
LO30	2024-03-12 02:43:38		708.000	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/LO30.MP4	0.0	708.000	25.000	Diamante	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	43.880	G:/Individual recognition vids/Blind videos/LO30.MP4	1097	NA	
LO30	2024-03-12 02:43:38		708.000	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/LO30.MP4	0.0	708.000	25.000	Diamante	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	46.600	G:/Individual recognition vids/Blind videos/LO30.MP4	1165	NA	
LO30	2024-03-12 02:43:38		708.000	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/LO30.MP4	0.0	708.000	25.000	Diamante	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Rst	Time budget	With kin	STOP	77.159	G:/Individual recognition vids/Blind videos/LO30.MP4	NA	NA	
LO30	2024-03-12 02:43:38		708.000	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/LO30.MP4	0.0	708.000	25.000	Diamante	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Vig	Time budget	Short Neck	START	77.160	G:/Individual recognition vids/Blind videos/LO30.MP4	1929	NA	
LO30	2024-03-12 02:43:38		708.000	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/LO30.MP4	0.0	708.000	25.000	Diamante	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	77.400	G:/Individual recognition vids/Blind videos/LO30.MP4	1935	NA	
LO30	2024-03-12 02:43:38		708.000	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/LO30.MP4	0.0	708.000	25.000	Diamante	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	78.400	G:/Individual recognition vids/Blind videos/LO30.MP4	1960	NA	
