Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/PM66.MP4	0	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	0.000	H:/Individual recognition vids/Blind videos/PM66.MP4	0	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Mid neck	START	0.000	H:/Individual recognition vids/Blind videos/PM66.MP4	0	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	1.040	H:/Individual recognition vids/Blind videos/PM66.MP4	26	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Mov	Locomotion	Away from speaker	START	1.040	H:/Individual recognition vids/Blind videos/PM66.MP4	26	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	3.400	H:/Individual recognition vids/Blind videos/PM66.MP4	85	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		HSH	Reaction		POINT	6.240	H:/Individual recognition vids/Blind videos/PM66.MP4	156	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	6.680	H:/Individual recognition vids/Blind videos/PM66.MP4	167	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	9.000	H:/Individual recognition vids/Blind videos/PM66.MP4	225	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	11.280	H:/Individual recognition vids/Blind videos/PM66.MP4	282	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Mov	Locomotion	Away from speaker	STOP	13.520	H:/Individual recognition vids/Blind videos/PM66.MP4	338	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	14.560	H:/Individual recognition vids/Blind videos/PM66.MP4	364	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	16.720	H:/Individual recognition vids/Blind videos/PM66.MP4	418	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	17.680	H:/Individual recognition vids/Blind videos/PM66.MP4	442	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	18.480	H:/Individual recognition vids/Blind videos/PM66.MP4	462	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	21.000	H:/Individual recognition vids/Blind videos/PM66.MP4	525	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	22.920	H:/Individual recognition vids/Blind videos/PM66.MP4	573	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	24.000	H:/Individual recognition vids/Blind videos/PM66.MP4	600	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Mov	Locomotion	Away from speaker	START	24.760	H:/Individual recognition vids/Blind videos/PM66.MP4	619	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	28.080	H:/Individual recognition vids/Blind videos/PM66.MP4	702	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	31.400	H:/Individual recognition vids/Blind videos/PM66.MP4	785	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Mov	Locomotion	Away from speaker	STOP	32.040	H:/Individual recognition vids/Blind videos/PM66.MP4	801	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	34.840	H:/Individual recognition vids/Blind videos/PM66.MP4	871	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Voc	Reaction	Contact	POINT	36.160	H:/Individual recognition vids/Blind videos/PM66.MP4	904	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	36.720	H:/Individual recognition vids/Blind videos/PM66.MP4	918	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	38.520	H:/Individual recognition vids/Blind videos/PM66.MP4	963	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Voc	Reaction	Contact	POINT	40.280	H:/Individual recognition vids/Blind videos/PM66.MP4	1007	NA	
PM66	2024-04-10 11:27:56		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PM66.MP4	0.0	733.920	25.000	Emu	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	42.240	H:/Individual recognition vids/Blind videos/PM66.MP4	1056	NA	
