Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
PX42	2024-04-11 21:46:23		740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	0.0	740.640	25.000	Ballantine	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	1m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/PX42.MP4	0	NA	
PX42	2024-04-11 21:46:23		740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	0.0	740.640	25.000	Ballantine	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	0.000	H:/Individual recognition vids/Blind videos/PX42.MP4	0	NA	
PX42	2024-04-11 21:46:23		740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	0.0	740.640	25.000	Ballantine	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	1m		Vig	Time budget	Mid neck	START	0.000	H:/Individual recognition vids/Blind videos/PX42.MP4	0	NA	
PX42	2024-04-11 21:46:23		740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	0.0	740.640	25.000	Ballantine	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	1.440	H:/Individual recognition vids/Blind videos/PX42.MP4	36	NA	
PX42	2024-04-11 21:46:23		740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	0.0	740.640	25.000	Ballantine	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	2.920	H:/Individual recognition vids/Blind videos/PX42.MP4	73	NA	
PX42	2024-04-11 21:46:23		740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	0.0	740.640	25.000	Ballantine	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	1m		Mov	Locomotion	Away from speaker	START	3.440	H:/Individual recognition vids/Blind videos/PX42.MP4	86	NA	
PX42	2024-04-11 21:46:23		740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	0.0	740.640	25.000	Ballantine	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	6.640	H:/Individual recognition vids/Blind videos/PX42.MP4	166	NA	
PX42	2024-04-11 21:46:23		740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	0.0	740.640	25.000	Ballantine	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	1m		Mov	Locomotion	Away from speaker	STOP	12.239	H:/Individual recognition vids/Blind videos/PX42.MP4	NA	NA	
PX42	2024-04-11 21:46:23		740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	0.0	740.640	25.000	Ballantine	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	1m		Vig	Time budget	Mid neck	STOP	12.239	H:/Individual recognition vids/Blind videos/PX42.MP4	NA	NA	
PX42	2024-04-11 21:46:23		740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PX42.MP4	0.0	740.640	25.000	Ballantine	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	1m		Eat	Time budget	With kin	START	12.240	H:/Individual recognition vids/Blind videos/PX42.MP4	306	NA	
