Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
RK76	2024-04-16 12:49:07		869.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RK76.MP4	0.0	869.280	25.000	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/RK76.MP4	0	NA	
RK76	2024-04-16 12:49:07		869.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RK76.MP4	0.0	869.280	25.000	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	0.000	H:/Individual recognition vids/Blind videos/RK76.MP4	0	NA	
RK76	2024-04-16 12:49:07		869.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RK76.MP4	0.0	869.280	25.000	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m		Vig	Time budget	Long neck	START	0.000	H:/Individual recognition vids/Blind videos/RK76.MP4	0	NA	
RK76	2024-04-16 12:49:07		869.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RK76.MP4	0.0	869.280	25.000	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	2.880	H:/Individual recognition vids/Blind videos/RK76.MP4	72	NA	
RK76	2024-04-16 12:49:07		869.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RK76.MP4	0.0	869.280	25.000	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m		Htlt	Reaction		POINT	6.360	H:/Individual recognition vids/Blind videos/RK76.MP4	159	NA	
RK76	2024-04-16 12:49:07		869.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RK76.MP4	0.0	869.280	25.000	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	6.360	H:/Individual recognition vids/Blind videos/RK76.MP4	159	NA	
RK76	2024-04-16 12:49:07		869.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RK76.MP4	0.0	869.280	25.000	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	8.720	H:/Individual recognition vids/Blind videos/RK76.MP4	218	NA	
RK76	2024-04-16 12:49:07		869.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RK76.MP4	0.0	869.280	25.000	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	10.040	H:/Individual recognition vids/Blind videos/RK76.MP4	251	NA	
RK76	2024-04-16 12:49:07		869.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RK76.MP4	0.0	869.280	25.000	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	13.480	H:/Individual recognition vids/Blind videos/RK76.MP4	337	NA	
RK76	2024-04-16 12:49:07		869.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RK76.MP4	0.0	869.280	25.000	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	14.480	H:/Individual recognition vids/Blind videos/RK76.MP4	362	NA	
RK76	2024-04-16 12:49:07		869.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RK76.MP4	0.0	869.280	25.000	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m		Mov	Locomotion	Away from speaker	START	15.280	H:/Individual recognition vids/Blind videos/RK76.MP4	382	NA	
RK76	2024-04-16 12:49:07		869.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RK76.MP4	0.0	869.280	25.000	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m		Vig	Time budget	Long neck	STOP	15.759	H:/Individual recognition vids/Blind videos/RK76.MP4	NA	NA	
RK76	2024-04-16 12:49:07		869.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RK76.MP4	0.0	869.280	25.000	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m		Vig	Time budget	Mid neck	START	15.760	H:/Individual recognition vids/Blind videos/RK76.MP4	394	NA	
RK76	2024-04-16 12:49:07		869.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RK76.MP4	0.0	869.280	25.000	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m		FVO	Reaction	Other	POINT	17.680	H:/Individual recognition vids/Blind videos/RK76.MP4	442	NA	
RK76	2024-04-16 12:49:07		869.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RK76.MP4	0.0	869.280	25.000	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	18.400	H:/Individual recognition vids/Blind videos/RK76.MP4	460	NA	
RK76	2024-04-16 12:49:07		869.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RK76.MP4	0.0	869.280	25.000	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m		Mov	Locomotion	Away from speaker	STOP	23.880	H:/Individual recognition vids/Blind videos/RK76.MP4	597	NA	
