Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
SH87	2024-06-17 01:28:07		820.200	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SH87.MP4	0.0	821.760	25.000	Rocket	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Vig	Time budget	Mid neck	START	1.560	H:/Individual recognition vids/Blind videos/SH87.MP4	39	NA	
SH87	2024-06-17 01:28:07		820.200	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SH87.MP4	0.0	821.760	25.000	Rocket	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	2.840	H:/Individual recognition vids/Blind videos/SH87.MP4	71	NA	
SH87	2024-06-17 01:28:07		820.200	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SH87.MP4	0.0	821.760	25.000	Rocket	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	5.200	H:/Individual recognition vids/Blind videos/SH87.MP4	130	NA	
SH87	2024-06-17 01:28:07		820.200	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SH87.MP4	0.0	821.760	25.000	Rocket	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	7.160	H:/Individual recognition vids/Blind videos/SH87.MP4	179	NA	
SH87	2024-06-17 01:28:07		820.200	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SH87.MP4	0.0	821.760	25.000	Rocket	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Vig	Time budget	Mid neck	STOP	10.279	H:/Individual recognition vids/Blind videos/SH87.MP4	NA	NA	
SH87	2024-06-17 01:28:07		820.200	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SH87.MP4	0.0	821.760	25.000	Rocket	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Pre	Time budget	Alone	START	10.280	H:/Individual recognition vids/Blind videos/SH87.MP4	257	NA	
SH87	2024-06-17 01:28:07		820.200	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SH87.MP4	0.0	821.760	25.000	Rocket	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	15.440	H:/Individual recognition vids/Blind videos/SH87.MP4	386	NA	
SH87	2024-06-17 01:28:07		820.200	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SH87.MP4	0.0	821.760	25.000	Rocket	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	20.000	H:/Individual recognition vids/Blind videos/SH87.MP4	500	NA	
SH87	2024-06-17 01:28:07		820.200	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SH87.MP4	0.0	821.760	25.000	Rocket	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	25.480	H:/Individual recognition vids/Blind videos/SH87.MP4	637	NA	
SH87	2024-06-17 01:28:07		820.200	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SH87.MP4	0.0	821.760	25.000	Rocket	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	27.000	H:/Individual recognition vids/Blind videos/SH87.MP4	675	NA	
SH87	2024-06-17 01:28:07		820.200	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SH87.MP4	0.0	821.760	25.000	Rocket	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	27.120	H:/Individual recognition vids/Blind videos/SH87.MP4	678	NA	
SH87	2024-06-17 01:28:07		820.200	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SH87.MP4	0.0	821.760	25.000	Rocket	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	33.240	H:/Individual recognition vids/Blind videos/SH87.MP4	831	NA	
