Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
SI24	2024-06-17 03:28:31		708.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SI24.MP4	0.0	708.000	25.000	Lindy Hop	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/SI24.MP4	0	NA	
SI24	2024-06-17 03:28:31		708.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SI24.MP4	0.0	708.000	25.000	Lindy Hop	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m		Rst	Time budget	With kin	START	0.000	H:/Individual recognition vids/Blind videos/SI24.MP4	0	NA	
SI24	2024-06-17 03:28:31		708.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SI24.MP4	0.0	708.000	25.000	Lindy Hop	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m		FVO	Reaction	Distance	POINT	16.280	H:/Individual recognition vids/Blind videos/SI24.MP4	407	NA	
SI24	2024-06-17 03:28:31		708.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SI24.MP4	0.0	708.000	25.000	Lindy Hop	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	70.800	H:/Individual recognition vids/Blind videos/SI24.MP4	1770	NA	
SI24	2024-06-17 03:28:31		708.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SI24.MP4	0.0	708.000	25.000	Lindy Hop	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m		Hab	Playback phase		START	91.360	H:/Individual recognition vids/Blind videos/SI24.MP4	2284	NA	
SI24	2024-06-17 03:28:31		708.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SI24.MP4	0.0	708.000	25.000	Lindy Hop	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	95.640	H:/Individual recognition vids/Blind videos/SI24.MP4	2391	NA	
SI24	2024-06-17 03:28:31		708.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SI24.MP4	0.0	708.000	25.000	Lindy Hop	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	97.120	H:/Individual recognition vids/Blind videos/SI24.MP4	2428	NA	
SI24	2024-06-17 03:28:31		708.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SI24.MP4	0.0	708.000	25.000	Lindy Hop	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m		FVO	Reaction	Distance	POINT	171.520	H:/Individual recognition vids/Blind videos/SI24.MP4	4288	NA	
SI24	2024-06-17 03:28:31		708.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SI24.MP4	0.0	708.000	25.000	Lindy Hop	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m		FVO	Reaction	Distance	POINT	216.000	H:/Individual recognition vids/Blind videos/SI24.MP4	5400	NA	
SI24	2024-06-17 03:28:31		708.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SI24.MP4	0.0	708.000	25.000	Lindy Hop	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m		FVO	Reaction	Distance	POINT	224.360	H:/Individual recognition vids/Blind videos/SI24.MP4	5609	NA	
SI24	2024-06-17 03:28:31		708.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SI24.MP4	0.0	708.000	25.000	Lindy Hop	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m		FVO	Reaction	Distance	POINT	238.000	H:/Individual recognition vids/Blind videos/SI24.MP4	5950	NA	
