Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
SQ17	2024-06-19 02:37:53		717.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SQ17.MP4	0.0	717.120	25.000	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/SQ17.MP4	0	NA	
SQ17	2024-06-19 02:37:53		717.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SQ17.MP4	0.0	717.120	25.000	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m		Eat	Time budget	With kin	START	0.000	H:/Individual recognition vids/Blind videos/SQ17.MP4	NA	NA	
SQ17	2024-06-19 02:37:53		717.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SQ17.MP4	0.0	717.120	25.000	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	20.640	H:/Individual recognition vids/Blind videos/SQ17.MP4	516	NA	
SQ17	2024-06-19 02:37:53		717.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SQ17.MP4	0.0	717.120	25.000	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	21.760	H:/Individual recognition vids/Blind videos/SQ17.MP4	544	NA	
SQ17	2024-06-19 02:37:53		717.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SQ17.MP4	0.0	717.120	25.000	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Distance	POINT	21.880	H:/Individual recognition vids/Blind videos/SQ17.MP4	547	NA	
SQ17	2024-06-19 02:37:53		717.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SQ17.MP4	0.0	717.120	25.000	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Distance	POINT	24.480	H:/Individual recognition vids/Blind videos/SQ17.MP4	612	NA	
SQ17	2024-06-19 02:37:53		717.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SQ17.MP4	0.0	717.120	25.000	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	30.880	H:/Individual recognition vids/Blind videos/SQ17.MP4	772	NA	
SQ17	2024-06-19 02:37:53		717.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SQ17.MP4	0.0	717.120	25.000	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Distance	POINT	33.360	H:/Individual recognition vids/Blind videos/SQ17.MP4	834	NA	
SQ17	2024-06-19 02:37:53		717.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SQ17.MP4	0.0	717.120	25.000	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Distance	POINT	37.800	H:/Individual recognition vids/Blind videos/SQ17.MP4	945	NA	
SQ17	2024-06-19 02:37:53		717.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SQ17.MP4	0.0	717.120	25.000	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	38.880	H:/Individual recognition vids/Blind videos/SQ17.MP4	972	NA	
