Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
SX42	2024-06-19 03:09:14		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0.0	733.920	25.000	Anthony	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/SX42.MP4	0	NA	
SX42	2024-06-19 03:09:14		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0.0	733.920	25.000	Anthony	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Eat	Time budget	With kin	START	0.360	H:/Individual recognition vids/Blind videos/SX42.MP4	9	NA	
SX42	2024-06-19 03:09:14		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0.0	733.920	25.000	Anthony	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	4.760	H:/Individual recognition vids/Blind videos/SX42.MP4	119	NA	
SX42	2024-06-19 03:09:14		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0.0	733.920	25.000	Anthony	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		FVO	Reaction	Other	POINT	19.440	H:/Individual recognition vids/Blind videos/SX42.MP4	486	NA	
SX42	2024-06-19 03:09:14		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0.0	733.920	25.000	Anthony	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	34.760	H:/Individual recognition vids/Blind videos/SX42.MP4	869	NA	
SX42	2024-06-19 03:09:14		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0.0	733.920	25.000	Anthony	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	55.560	H:/Individual recognition vids/Blind videos/SX42.MP4	1389	NA	
SX42	2024-06-19 03:09:14		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0.0	733.920	25.000	Anthony	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	56.480	H:/Individual recognition vids/Blind videos/SX42.MP4	1412	NA	
SX42	2024-06-19 03:09:14		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0.0	733.920	25.000	Anthony	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	65.560	H:/Individual recognition vids/Blind videos/SX42.MP4	1639	NA	
SX42	2024-06-19 03:09:14		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0.0	733.920	25.000	Anthony	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		FVO	Reaction	Other	POINT	65.800	H:/Individual recognition vids/Blind videos/SX42.MP4	1645	NA	
SX42	2024-06-19 03:09:14		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0.0	733.920	25.000	Anthony	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Hab	Playback phase		START	101.440	H:/Individual recognition vids/Blind videos/SX42.MP4	2536	NA	
SX42	2024-06-19 03:09:14		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0.0	733.920	25.000	Anthony	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	112.760	H:/Individual recognition vids/Blind videos/SX42.MP4	2819	NA	
SX42	2024-06-19 03:09:14		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0.0	733.920	25.000	Anthony	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		FVO	Reaction	Recruitment	POINT	120.160	H:/Individual recognition vids/Blind videos/SX42.MP4	3004	NA	
SX42	2024-06-19 03:09:14		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0.0	733.920	25.000	Anthony	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		FVO	Reaction	Departure	POINT	129.400	H:/Individual recognition vids/Blind videos/SX42.MP4	3235	NA	
SX42	2024-06-19 03:09:14		733.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0.0	733.920	25.000	Anthony	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		FVO	Reaction	Departure	POINT	131.000	H:/Individual recognition vids/Blind videos/SX42.MP4	3275	NA	
