Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
WJ55	2024-07-02 23:01:03		730.080	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WJ55.MP4	0.0	730.080	25.000	Jafar	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Rst	Time budget	Alone	START	0.000	H:/Individual recognition vids/Blind videos/WJ55.MP4	0	NA	
WJ55	2024-07-02 23:01:03		730.080	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WJ55.MP4	0.0	730.080	25.000	Jafar	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	1.000	H:/Individual recognition vids/Blind videos/WJ55.MP4	25	NA	
WJ55	2024-07-02 23:01:03		730.080	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WJ55.MP4	0.0	730.080	25.000	Jafar	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Rst	Time budget	Alone	STOP	2.159	H:/Individual recognition vids/Blind videos/WJ55.MP4	NA	NA	
WJ55	2024-07-02 23:01:03		730.080	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WJ55.MP4	0.0	730.080	25.000	Jafar	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	2.160	H:/Individual recognition vids/Blind videos/WJ55.MP4	54	NA	
WJ55	2024-07-02 23:01:03		730.080	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WJ55.MP4	0.0	730.080	25.000	Jafar	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Vig	Time budget	Mid neck	START	2.160	H:/Individual recognition vids/Blind videos/WJ55.MP4	54	NA	
WJ55	2024-07-02 23:01:03		730.080	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WJ55.MP4	0.0	730.080	25.000	Jafar	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Other	POINT	2.200	H:/Individual recognition vids/Blind videos/WJ55.MP4	55	NA	
WJ55	2024-07-02 23:01:03		730.080	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WJ55.MP4	0.0	730.080	25.000	Jafar	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	3.240	H:/Individual recognition vids/Blind videos/WJ55.MP4	81	NA	
WJ55	2024-07-02 23:01:03		730.080	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WJ55.MP4	0.0	730.080	25.000	Jafar	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Voc	Reaction	Distance	POINT	3.960	H:/Individual recognition vids/Blind videos/WJ55.MP4	99	NA	
WJ55	2024-07-02 23:01:03		730.080	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WJ55.MP4	0.0	730.080	25.000	Jafar	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Voc	Reaction	Distance	POINT	5.720	H:/Individual recognition vids/Blind videos/WJ55.MP4	143	NA	
WJ55	2024-07-02 23:01:03		730.080	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WJ55.MP4	0.0	730.080	25.000	Jafar	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	5.760	H:/Individual recognition vids/Blind videos/WJ55.MP4	144	NA	
WJ55	2024-07-02 23:01:03		730.080	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WJ55.MP4	0.0	730.080	25.000	Jafar	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	10.760	H:/Individual recognition vids/Blind videos/WJ55.MP4	269	NA	
WJ55	2024-07-02 23:01:03		730.080	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WJ55.MP4	0.0	730.080	25.000	Jafar	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	12.040	H:/Individual recognition vids/Blind videos/WJ55.MP4	301	NA	
WJ55	2024-07-02 23:01:03		730.080	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WJ55.MP4	0.0	730.080	25.000	Jafar	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	14.400	H:/Individual recognition vids/Blind videos/WJ55.MP4	360	NA	
