Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
XK41	2024-07-06 21:57:26		820.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XK41.MP4	0.0	820.800	25.000	Natalie	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/XK41.MP4	0	NA	
XK41	2024-07-06 21:57:26		820.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XK41.MP4	0.0	820.800	25.000	Natalie	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	0.000	H:/Individual recognition vids/Blind videos/XK41.MP4	0	NA	
XK41	2024-07-06 21:57:26		820.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XK41.MP4	0.0	820.800	25.000	Natalie	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Vig	Time budget	Mid neck	START	0.000	H:/Individual recognition vids/Blind videos/XK41.MP4	0	NA	
XK41	2024-07-06 21:57:26		820.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XK41.MP4	0.0	820.800	25.000	Natalie	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	2.240	H:/Individual recognition vids/Blind videos/XK41.MP4	56	NA	
XK41	2024-07-06 21:57:26		820.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XK41.MP4	0.0	820.800	25.000	Natalie	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	4.840	H:/Individual recognition vids/Blind videos/XK41.MP4	121	NA	
XK41	2024-07-06 21:57:26		820.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XK41.MP4	0.0	820.800	25.000	Natalie	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	5.840	H:/Individual recognition vids/Blind videos/XK41.MP4	146	NA	
XK41	2024-07-06 21:57:26		820.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XK41.MP4	0.0	820.800	25.000	Natalie	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	10.320	H:/Individual recognition vids/Blind videos/XK41.MP4	258	NA	
XK41	2024-07-06 21:57:26		820.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XK41.MP4	0.0	820.800	25.000	Natalie	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	11.120	H:/Individual recognition vids/Blind videos/XK41.MP4	278	NA	
XK41	2024-07-06 21:57:26		820.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XK41.MP4	0.0	820.800	25.000	Natalie	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	13.960	H:/Individual recognition vids/Blind videos/XK41.MP4	349	NA	
XK41	2024-07-06 21:57:26		820.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XK41.MP4	0.0	820.800	25.000	Natalie	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	15.080	H:/Individual recognition vids/Blind videos/XK41.MP4	377	NA	
XK41	2024-07-06 21:57:26		820.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XK41.MP4	0.0	820.800	25.000	Natalie	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	20.120	H:/Individual recognition vids/Blind videos/XK41.MP4	503	NA	
XK41	2024-07-06 21:57:26		820.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XK41.MP4	0.0	820.800	25.000	Natalie	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	24.960	H:/Individual recognition vids/Blind videos/XK41.MP4	624	NA	
XK41	2024-07-06 21:57:26		820.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XK41.MP4	0.0	820.800	25.000	Natalie	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	26.240	H:/Individual recognition vids/Blind videos/XK41.MP4	656	NA	
XK41	2024-07-06 21:57:26		820.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XK41.MP4	0.0	820.800	25.000	Natalie	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Voc	Reaction	Contact	POINT	26.800	H:/Individual recognition vids/Blind videos/XK41.MP4	670	NA	
