Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/ZM17.MP4	0	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Pre	Time budget	With kin	START	0.000	H:/Individual recognition vids/Blind videos/ZM17.MP4	0	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	1.440	H:/Individual recognition vids/Blind videos/ZM17.MP4	36	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	1.520	H:/Individual recognition vids/Blind videos/ZM17.MP4	38	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	16.480	H:/Individual recognition vids/Blind videos/ZM17.MP4	412	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	34.360	H:/Individual recognition vids/Blind videos/ZM17.MP4	859	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	66.320	H:/Individual recognition vids/Blind videos/ZM17.MP4	1658	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		HSH	Reaction		POINT	67.280	H:/Individual recognition vids/Blind videos/ZM17.MP4	1682	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	67.760	H:/Individual recognition vids/Blind videos/ZM17.MP4	1694	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	72.640	H:/Individual recognition vids/Blind videos/ZM17.MP4	1816	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		HSH	Reaction		POINT	74.200	H:/Individual recognition vids/Blind videos/ZM17.MP4	1855	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	79.920	H:/Individual recognition vids/Blind videos/ZM17.MP4	1998	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	91.680	H:/Individual recognition vids/Blind videos/ZM17.MP4	2292	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	98.160	H:/Individual recognition vids/Blind videos/ZM17.MP4	2454	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	98.480	H:/Individual recognition vids/Blind videos/ZM17.MP4	2462	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	101.720	H:/Individual recognition vids/Blind videos/ZM17.MP4	2543	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	102.440	H:/Individual recognition vids/Blind videos/ZM17.MP4	2561	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Hab	Playback phase		START	113.960	H:/Individual recognition vids/Blind videos/ZM17.MP4	2849	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	114.240	H:/Individual recognition vids/Blind videos/ZM17.MP4	2856	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	125.640	H:/Individual recognition vids/Blind videos/ZM17.MP4	3141	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	127.920	H:/Individual recognition vids/Blind videos/ZM17.MP4	3198	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	128.560	H:/Individual recognition vids/Blind videos/ZM17.MP4	3214	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	134.280	H:/Individual recognition vids/Blind videos/ZM17.MP4	3357	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	148.520	H:/Individual recognition vids/Blind videos/ZM17.MP4	3713	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	157.440	H:/Individual recognition vids/Blind videos/ZM17.MP4	3936	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Pre	Time budget	With kin	STOP	167.599	H:/Individual recognition vids/Blind videos/ZM17.MP4	NA	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Vig	Time budget	Mid neck	START	167.600	H:/Individual recognition vids/Blind videos/ZM17.MP4	4190	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	167.680	H:/Individual recognition vids/Blind videos/ZM17.MP4	4192	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	169.200	H:/Individual recognition vids/Blind videos/ZM17.MP4	4230	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	170.240	H:/Individual recognition vids/Blind videos/ZM17.MP4	4256	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Mov	Locomotion	Away from speaker	START	172.760	H:/Individual recognition vids/Blind videos/ZM17.MP4	4319	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	176.880	H:/Individual recognition vids/Blind videos/ZM17.MP4	4422	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Mov	Locomotion	Away from speaker	STOP	177.160	H:/Individual recognition vids/Blind videos/ZM17.MP4	4429	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	178.280	H:/Individual recognition vids/Blind videos/ZM17.MP4	4457	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Vig	Time budget	Mid neck	STOP	178.799	H:/Individual recognition vids/Blind videos/ZM17.MP4	NA	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Vig	Time budget	Long neck	START	178.800	H:/Individual recognition vids/Blind videos/ZM17.MP4	4470	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	182.160	H:/Individual recognition vids/Blind videos/ZM17.MP4	4554	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Vig	Time budget	Long neck	STOP	183.479	H:/Individual recognition vids/Blind videos/ZM17.MP4	NA	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Pre	Time budget	With kin	START	183.480	H:/Individual recognition vids/Blind videos/ZM17.MP4	4587	NA	
ZM17	2024-07-13 00:49:32		723.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	0.0	723.360	25.000	Oberlix	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	201.440	H:/Individual recognition vids/Blind videos/ZM17.MP4	5036	NA	
