Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	Ass	Kin	3	572.72	190.907	57.827	82.04	55.154	77.7
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	Fllw	Kin	5	NA	NA	NA	106.92	107.704	NA
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	Agn	Towards other	1	NA	NA	NA	NA	NA	NA
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	Mov	Away from speaker	3	508.159	169.386	124.831	37.28	29.19	69.0
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	Dhb		1	254.72	254.72	NA	NA	NA	34.6
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	Hab		1	245.4	245.4	NA	NA	NA	33.3
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	Look	Away from speaker	134	NA	NA	NA	4.846	4.446	NA
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	Look	At speaker	17	NA	NA	NA	28.317	40.472	NA
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	Voc	Contact	2	NA	NA	NA	15.96	NA	NA
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	HSH		5	NA	NA	NA	125.76	81.847	NA
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	Htlt		0	NA	NA	NA	NA	NA	NA
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	FVO	Recruitment	27	NA	NA	NA	17.211	39.451	NA
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	FVO	Departure	1	NA	NA	NA	NA	NA	NA
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	Eat	With kin	4	139.997	34.999	28.988	198.934	339.817	19.0
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	Pre	With kin	2	34.919	17.459	11.794	5.681	NA	4.7
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	Rst		0	0.0	NA	NA	NA	NA	0.0
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	Vig	Mid neck	7	195.316	27.902	30.328	72.107	126.694	26.5
EM45	2024-01-2221:49:57.000	JB_PRF_13112022_1044.MP4	JB	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	736.800	736.800	No focal subject	Vig	Short Neck	6	117.798	19.633	22.8	38.944	37.255	16.0
