Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	Ass	Kin	2	783.0	391.5	299.332	41.72	NA	94.9
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	Fllw	Kin	7	NA	NA	NA	86.453	89.794	NA
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	Agn	Towards other	4	NA	NA	NA	70.107	103.886	NA
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	Mov	Away from speaker	15	147.513	9.834	5.137	40.466	38.562	17.9
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	Mov	Towards speaker	3	19.638	6.546	2.934	166.94	204.072	2.4
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	Dep	With kin	1	NA	NA	NA	NA	NA	NA
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	Dhb		1	251.16	251.16	NA	NA	NA	30.5
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	Hab		1	249.16	249.16	NA	NA	NA	30.2
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	Look	Away from speaker	119	NA	NA	NA	6.92	9.179	NA
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	Look	At speaker	60	NA	NA	NA	10.696	14.493	NA
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	Voc	Other	4	NA	NA	NA	182.213	311.862	NA
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	Voc	Contact	16	NA	NA	NA	44.272	53.159	NA
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	Voc	Recruitment	66	NA	NA	NA	10.946	14.449	NA
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	Voc	Distance	4	NA	NA	NA	18.68	26.82	NA
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	HSH		33	NA	NA	NA	20.195	33.162	NA
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	Htlt		5	NA	NA	NA	199.96	203.602	NA
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	FVO	Other	2	NA	NA	NA	29.32	NA	NA
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	FVO	Departure	18	NA	NA	NA	37.4	39.013	NA
FM65	2024-01-2820:37:35.000	Lupin_FRP_23102022_1054.MP4	Lupin	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	824.720	824.720	No focal subject	FVO	Distance	5	NA	NA	NA	68.6	86.132	NA
