Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	Ass	Kin	1	733.12	733.12	NA	NA	NA	100.0
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	Mov		0	0.0	NA	NA	NA	NA	0.0
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	Dhb		1	242.56	242.56	NA	NA	NA	33.1
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	Hab		1	250.44	250.44	NA	NA	NA	34.2
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	Look	Away from speaker	29	NA	NA	NA	19.204	28.588	NA
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	Look	At speaker	34	NA	NA	NA	11.52	15.284	NA
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	Voc	Distance	2	NA	NA	NA	2.04	NA	NA
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	Htlt		1	NA	NA	NA	NA	NA	NA
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	FVO	Other	2	NA	NA	NA	489.72	NA	NA
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	FVO	Distance	16	NA	NA	NA	41.464	43.451	NA
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	FVO	Departure	1	NA	NA	NA	NA	NA	NA
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
IN87	2024-02-2522:11:43.000	Jumper_FRP_27102022_0952.MP4	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.320	733.440	733.120	No focal subject	Pre	With kin	14	477.547	34.111	49.092	6.724	4.915	65.1
