Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	Ass	Kin	4	426.04	106.51	103.575	105.227	146.365	56.1
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	Fllw	Kin	5	NA	NA	NA	154.64	168.715	NA
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	Agn	Towards other	3	NA	NA	NA	4.82	3.649	NA
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	Mov	Away from speaker	15	231.635	15.442	13.296	34.52	48.347	30.5
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	Mov	Towards speaker	4	24.159	6.04	3.064	165.907	159.252	3.2
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	Dhb		1	242.04	242.04	NA	NA	NA	31.8
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	Hab		1	248.8	248.8	NA	NA	NA	32.7
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	Look	Away from speaker	168	NA	NA	NA	4.48	6.628	NA
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	Look	At speaker	96	NA	NA	NA	7.859	13.139	NA
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	Voc	Recruitment	153	NA	NA	NA	4.974	10.907	NA
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	Voc	Contact	6	NA	NA	NA	102.072	105.68	NA
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	HSH		15	NA	NA	NA	39.106	38.69	NA
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	Htlt		7	NA	NA	NA	84.307	59.2	NA
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	FVO	Other	25	NA	NA	NA	23.728	48.057	NA
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	FVO	Distance	11	NA	NA	NA	48.016	81.895	NA
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	Eat	With kin	5	64.115	12.823	9.725	148.641	286.091	8.4
PK96	2024-04-0918:09:40.000	Lupin_FC_14102022_1010.MP4	Lupin	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m	0.000	759.960	759.960	No focal subject	Eat	Alone	6	39.474	6.579	5.829	104.513	98.022	5.2
