Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Ass	Kin	1	721.92	721.92	NA	NA	NA	100.0
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Fllw	Kin	2	NA	NA	NA	22.08	NA	NA
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Agn	Towards other	1	NA	NA	NA	NA	NA	NA
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Mov	Away from speaker	2	26.44	13.22	9.702	5.88	NA	3.7
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Dhb		1	243.8	243.8	NA	NA	NA	33.8
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Hab		1	251.64	251.64	NA	NA	NA	34.9
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Look	Away from speaker	32	NA	NA	NA	23.116	56.785	NA
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Look	At speaker	19	NA	NA	NA	39.402	135.382	NA
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Voc	Contact	1	NA	NA	NA	NA	NA	NA
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Htlt		12	NA	NA	NA	58.182	94.328	NA
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	FVO	Other	22	NA	NA	NA	30.497	50.776	NA
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	FVO	Distance	23	NA	NA	NA	12.689	23.85	NA
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Pre	With kin	2	11.198	5.599	1.414	4.161	NA	1.6
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Rst	With kin	2	548.478	274.239	372.278	35.001	NA	76.0
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Vig	Mid neck	4	94.077	23.519	14.018	209.281	341.57	13.0
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Vig	Short Neck	3	65.557	21.852	11.619	293.681	344.785	9.1
SI10	2024-06-1702:33:10.000	Ornella_FRF_29102022_1032.MP4	Ornella	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	721.920	721.920	No focal subject	Vig	Long neck	1	2.599	2.599	NA	NA	NA	0.4
