Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	Ass	Kin	1	715.68	715.68	NA	NA	NA	100.0
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	Mov		0	0.0	NA	NA	NA	NA	0.0
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	Dhb		1	243.84	243.84	NA	NA	NA	34.1
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	Hab		1	243.12	243.12	NA	NA	NA	34.0
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	Look	Away from speaker	4	NA	NA	NA	4.213	1.069	NA
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	Look	At speaker	1	NA	NA	NA	NA	NA	NA
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	Voc		0	NA	NA	NA	NA	NA	NA
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	Htlt		0	NA	NA	NA	NA	NA	NA
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	FVO	Distance	17	NA	NA	NA	34.28	33.559	NA
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	FVO	Other	4	NA	NA	NA	4.227	0.569	NA
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	Pre		0	0.0	NA	NA	NA	NA	0.0
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	Rst	With kin	2	701.079	350.539	329.37	14.601	NA	98.0
YN28	2024-07-1102:10:34.000	Lando_FC_14102022_1049.MP4	Lando	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	715.680	715.680	No focal subject	Vig	Short Neck	1	14.599	14.599	NA	NA	NA	2.0
