Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Ass	Kin	1	772.32	772.32	NA	NA	NA	100.0
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Mov	Away from speaker	1	11.68	11.68	NA	NA	NA	1.5
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Dhb		1	250.56	250.56	NA	NA	NA	32.4
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Hab		1	244.68	244.68	NA	NA	NA	31.7
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Look	At speaker	40	NA	NA	NA	17.535	40.262	NA
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Look	Away from speaker	22	NA	NA	NA	31.935	64.158	NA
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Voc		0	NA	NA	NA	NA	NA	NA
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	HSH		4	NA	NA	NA	215.613	313.967	NA
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Htlt		9	NA	NA	NA	79.53	166.729	NA
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	FVO	Other	6	NA	NA	NA	91.4	89.821	NA
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	FVO	Distance	46	NA	NA	NA	16.238	25.709	NA
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Pre	With kin	5	292.595	58.519	106.014	7.711	3.186	37.9
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Rst	With kin	2	383.199	191.6	149.567	325.561	NA	49.6
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Vig	Short Neck	8	60.072	7.509	3.874	88.407	126.796	7.8
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Vig	Mid neck	3	8.797	2.932	0.785	20.801	4.639	1.1
ZB99	2024-07-1122:54:15.000	Koarl_PRF_28102022_0957.MP4	Koarl	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	772.320	772.320	No focal subject	Vig	Long neck	2	27.638	13.819	5.233	17.801	NA	3.6
