Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	Ass	Kin	1	811.68	811.68	NA	NA	NA	100.0
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	Fllw	Kin	2	NA	NA	NA	10.56	NA	NA
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	Agn	Towards other	2	NA	NA	NA	20.16	NA	NA
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	Mov	Away from speaker	1	66.519	66.519	NA	NA	NA	8.2
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	Dhb		1	242.08	242.08	NA	NA	NA	29.8
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	Hab		1	265.32	265.32	NA	NA	NA	32.7
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	Look	Away from speaker	11	NA	NA	NA	70.136	167.631	NA
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	Look	At speaker	9	NA	NA	NA	73.575	70.553	NA
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	Voc	Contact	1	NA	NA	NA	NA	NA	NA
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	Htlt		1	NA	NA	NA	NA	NA	NA
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	FVO		0	NA	NA	NA	NA	NA	NA
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	Pre	With kin	3	87.277	29.092	22.947	298.741	321.055	10.8
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	Rst	With kin	2	646.319	323.159	286.519	39.481	NA	79.6
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	Vig	Long neck	1	6.36	6.36	NA	NA	NA	0.8
AM50	2023-12-1822:49:06.000	Joe_FC_20102022_0922.MP4	Joe	FC		2022-09-11T09:22:00	Centre	Overcast	KLF	Departure	1m	0.000	811.680	811.680	No focal subject	Vig	Mid neck	1	6.359	6.359	NA	NA	NA	0.8
