Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Ass	Kin	1	428.72	428.72	NA	NA	NA	60.0
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Fllw	Kin	3	NA	NA	NA	176.44	233.345	NA
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Mov	Away from speaker	4	308.557	77.139	89.322	110.294	68.791	43.2
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Mov	Towards speaker	2	11.639	5.819	0.368	559.64	NA	1.6
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Dhb		1	244.56	244.56	NA	NA	NA	34.2
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Hab		1	256.92	256.92	NA	NA	NA	36.0
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Look	Away from speaker	77	NA	NA	NA	9.299	10.93	NA
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Look	At speaker	40	NA	NA	NA	17.798	41.763	NA
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Voc	Contact	1	NA	NA	NA	NA	NA	NA
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	HSH		18	NA	NA	NA	40.094	92.117	NA
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Htlt		0	NA	NA	NA	NA	NA	NA
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	FVO		0	NA	NA	NA	NA	NA	NA
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Eat	Alone	2	77.238	38.619	27.803	8.761	NA	10.8
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Eat	With kin	5	84.676	16.935	23.097	25.781	23.624	11.9
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Pre	With kin	1	1.92	1.92	NA	NA	NA	0.3
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Rst		0	0.0	NA	NA	NA	NA	0.0
DO20	2024-01-0723:56:06.000	JB_FRF_22112022_1040.MP4	JB	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	714.240	714.240	No focal subject	Vig	Mid neck	8	339.155	42.394	58.077	51.903	48.812	47.5
