Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
DP39	2024-01-1508:27:44.000	Diamante_FC_14112022_1008.MP4  Triple/Edit end	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	683.560	683.560	No focal subject	Ass	Kin	3	112.96	37.653	13.523	265.26	158.929	16.5
DP39	2024-01-1508:27:44.000	Diamante_FC_14112022_1008.MP4  Triple/Edit end	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	683.560	683.560	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
DP39	2024-01-1508:27:44.000	Diamante_FC_14112022_1008.MP4  Triple/Edit end	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	683.560	683.560	No focal subject	Agn	Towards other	1	NA	NA	NA	NA	NA	NA
DP39	2024-01-1508:27:44.000	Diamante_FC_14112022_1008.MP4  Triple/Edit end	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	683.560	683.560	No focal subject	Mov	Away from speaker	7	80.799	11.543	7.754	76.6	140.594	11.8
DP39	2024-01-1508:27:44.000	Diamante_FC_14112022_1008.MP4  Triple/Edit end	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	683.560	683.560	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
DP39	2024-01-1508:27:44.000	Diamante_FC_14112022_1008.MP4  Triple/Edit end	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	683.560	683.560	No focal subject	Dhb		1	245.68	245.68	NA	NA	NA	35.9
DP39	2024-01-1508:27:44.000	Diamante_FC_14112022_1008.MP4  Triple/Edit end	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	683.560	683.560	No focal subject	Hab		1	254.92	254.92	NA	NA	NA	37.3
DP39	2024-01-1508:27:44.000	Diamante_FC_14112022_1008.MP4  Triple/Edit end	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	683.560	683.560	No focal subject	Look	Away from speaker	39	NA	NA	NA	16.665	41.785	NA
DP39	2024-01-1508:27:44.000	Diamante_FC_14112022_1008.MP4  Triple/Edit end	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	683.560	683.560	No focal subject	Look	At speaker	25	NA	NA	NA	23.72	43.478	NA
DP39	2024-01-1508:27:44.000	Diamante_FC_14112022_1008.MP4  Triple/Edit end	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	683.560	683.560	No focal subject	Voc	Contact	2	NA	NA	NA	367.68	NA	NA
DP39	2024-01-1508:27:44.000	Diamante_FC_14112022_1008.MP4  Triple/Edit end	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	683.560	683.560	No focal subject	HSH		3	NA	NA	NA	237.62	209.671	NA
