Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Ass	Kin	2	670.88	335.44	35.129	43.84	NA	93.9
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Fllw	Kin	5	NA	NA	NA	30.47	18.473	NA
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Mov	Away from speaker	2	129.759	64.88	85.531	1.4	NA	18.2
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Mov	Towards speaker	1	4.639	4.639	NA	NA	NA	0.6
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Dhb		1	245.28	245.28	NA	NA	NA	34.3
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Hab		1	245.12	245.12	NA	NA	NA	34.3
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Look	At speaker	35	NA	NA	NA	20.159	47.2	NA
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Look	Away from speaker	92	NA	NA	NA	7.48	19.927	NA
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Voc	Contact	8	NA	NA	NA	34.634	32.246	NA
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	HSH		3	NA	NA	NA	307.04	97.92	NA
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Htlt		3	NA	NA	NA	129.06	106.151	NA
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	FVO	Distance	13	NA	NA	NA	47.543	46.564	NA
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	FVO	Other	7	NA	NA	NA	28.887	30.146	NA
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Eat	With kin	14	136.107	9.722	11.701	5.416	3.398	19.0
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Pre	With kin	12	92.988	7.749	5.388	24.921	62.651	13.0
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Rst	With kin	1	195.519	195.519	NA	NA	NA	27.4
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Vig	Short Neck	3	64.997	21.666	6.165	218.801	23.815	9.1
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Vig	Mid neck	24	217.256	9.052	20.284	9.864	11.228	30.4
ML56	2024-03-1522:50:36.000	L'amour_PRF_11112022_0915.MP4	L'amour	PRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	714.720	714.720	No focal subject	Vig	Long neck	1	7.239	7.239	NA	NA	NA	1.0
