Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
NV45	2024-03-1821:45:56.000	Jurek_FRF_21112022_0946.MP4 Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	693.400	693.400	No focal subject	Ass	Kin	1	693.4	693.4	NA	NA	NA	100.0
NV45	2024-03-1821:45:56.000	Jurek_FRF_21112022_0946.MP4 Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	693.400	693.400	No focal subject	Fllw	Kin	1	NA	NA	NA	NA	NA	NA
NV45	2024-03-1821:45:56.000	Jurek_FRF_21112022_0946.MP4 Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	693.400	693.400	No focal subject	Agn	Towards other	2	NA	NA	NA	194.36	NA	NA
NV45	2024-03-1821:45:56.000	Jurek_FRF_21112022_0946.MP4 Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	693.400	693.400	No focal subject	Mov	Away from speaker	15	303.996	20.266	21.543	21.22	21.135	43.8
NV45	2024-03-1821:45:56.000	Jurek_FRF_21112022_0946.MP4 Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	693.400	693.400	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
NV45	2024-03-1821:45:56.000	Jurek_FRF_21112022_0946.MP4 Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	693.400	693.400	No focal subject	Dhb		1	245.96	245.96	NA	NA	NA	35.5
NV45	2024-03-1821:45:56.000	Jurek_FRF_21112022_0946.MP4 Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	693.400	693.400	No focal subject	Hab		1	245.52	245.52	NA	NA	NA	35.4
NV45	2024-03-1821:45:56.000	Jurek_FRF_21112022_0946.MP4 Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	693.400	693.400	No focal subject	Look	Away from speaker	180	NA	NA	NA	3.789	5.516	NA
NV45	2024-03-1821:45:56.000	Jurek_FRF_21112022_0946.MP4 Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	693.400	693.400	No focal subject	Look	At speaker	50	NA	NA	NA	13.787	16.985	NA
NV45	2024-03-1821:45:56.000	Jurek_FRF_21112022_0946.MP4 Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	693.400	693.400	No focal subject	Voc	Contact	10	NA	NA	NA	45.164	58.826	NA
