Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	Ass	Kin	1	96.6	96.6	NA	NA	NA	13.1
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	Agn	Towards other	19	NA	NA	NA	25.36	22.073	NA
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	Mov	Away from speaker	9	142.838	15.871	14.32	39.685	55.021	19.3
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	Mov	Towards speaker	2	24.479	12.24	6.563	102.161	NA	3.3
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	Dhb		2	246.16	123.08	168.97	38.8	NA	33.3
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	Hab		1	244.72	244.72	NA	NA	NA	33.1
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	Look	At speaker	83	NA	NA	NA	8.88	11.782	NA
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	Look	Away from speaker	103	NA	NA	NA	7.105	11.107	NA
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	Voc	Contact	38	NA	NA	NA	17.444	34.754	NA
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	Voc	Other	28	NA	NA	NA	10.43	45.151	NA
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	HSH		9	NA	NA	NA	58.675	82.117	NA
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	Htlt		1	NA	NA	NA	NA	NA	NA
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	FVO	Distance	11	NA	NA	NA	55.192	43.457	NA
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	FVO	Other	28	NA	NA	NA	13.961	41.826	NA
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	Eat	With other	6	340.714	56.786	40.584	32.713	20.471	46.0
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	Eat	Alone	3	44.677	14.892	7.992	181.021	17.621	6.0
ZR55	2024-07-1520:39:00.000	Bernard_FRP_13112022_0905.MP4	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m	0.000	740.160	740.160	No focal subject	Eat	With kin	2	8.318	4.159	2.659	3.841	NA	1.1
