Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Ass	Kin	2	552.481	276.24	29.302	152.88	NA	77.3
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Fllw	Kin	2	NA	NA	NA	242.24	NA	NA
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Mov	Away from speaker	5	153.279	30.656	30.554	79.22	102.831	21.5
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Dhb		1	241.48	241.48	NA	NA	NA	33.8
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Hab		1	247.6	247.6	NA	NA	NA	34.7
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Look	At speaker	32	NA	NA	NA	16.223	19.512	NA
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Look	Away from speaker	59	NA	NA	NA	11.576	24.967	NA
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Voc	Contact	13	NA	NA	NA	17.887	18.438	NA
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	HSH		8	NA	NA	NA	44.783	43.87	NA
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Htlt		8	NA	NA	NA	88.04	129.017	NA
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	FVO	Distance	2	NA	NA	NA	2.08	NA	NA
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Eat	With kin	5	107.395	21.479	32.995	27.931	32.913	15.0
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Pre	Alone	2	24.598	12.299	7.439	14.201	NA	3.4
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Rst	With kin	2	206.441	103.221	106.205	3.641	NA	28.9
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Vig	Mid neck	5	98.797	19.759	12.29	21.191	23.354	13.8
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Vig	Long neck	2	30.839	15.419	4.27	6.721	NA	4.3
BF67	2023-12-2819:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	714.362	714.362	No focal subject	Vig	Short Neck	5	51.237	10.247	6.54	75.041	75.909	7.2
