Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Ass	Kin	1	384.44	384.44	NA	NA	NA	49.2
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Mov	Towards speaker	1	8.52	8.52	NA	NA	NA	1.1
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Mov	Away from speaker	6	135.759	22.626	17.427	74.44	77.025	17.4
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Dhb		1	244.68	244.68	NA	NA	NA	31.3
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Hab		1	259.12	259.12	NA	NA	NA	33.2
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Look	At speaker	55	NA	NA	NA	9.513	12.503	NA
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Look	Away from speaker	102	NA	NA	NA	6.482	9.094	NA
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Voc	Recruitment	26	NA	NA	NA	15.859	43.004	NA
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Voc	Contact	5	NA	NA	NA	85.13	92.218	NA
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Voc	Distance	14	NA	NA	NA	14.055	14.709	NA
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	HSH		2	NA	NA	NA	71.52	NA	NA
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Htlt		5	NA	NA	NA	102.37	166.624	NA
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	FVO	Other	2	NA	NA	NA	90.52	NA	NA
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Pre	Alone	9	103.354	11.484	10.387	31.906	17.437	13.2
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Pre	With kin	1	15.959	15.959	NA	NA	NA	2.0
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Rst	Alone	1	5.399	5.399	NA	NA	NA	0.7
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Rst	With kin	2	244.119	122.059	167.528	114.401	NA	31.2
EA40	2024-01-2123:26:45.000	Einstein_PRF_18102022_1023.MP4	Einstein	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	2.360	783.840	781.480	No focal subject	Vig	Long neck	5	86.638	17.328	9.325	70.511	54.84	11.1
