Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
JH77	2024-02-2822:37:05.000	Leia_FC_06112022_0905.MP4 	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	709.680	709.680	No focal subject	Ass	Kin	2	670.08	335.04	106.009	39.6	NA	94.4
JH77	2024-02-2822:37:05.000	Leia_FC_06112022_0905.MP4 	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	709.680	709.680	No focal subject	Fllw	Kin	3	NA	NA	NA	266.04	33.149	NA
JH77	2024-02-2822:37:05.000	Leia_FC_06112022_0905.MP4 	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	709.680	709.680	No focal subject	Agn	Towards other	8	NA	NA	NA	52.223	60.551	NA
JH77	2024-02-2822:37:05.000	Leia_FC_06112022_0905.MP4 	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	709.680	709.680	No focal subject	Mov	Away from speaker	3	62.238	20.746	11.924	63.561	46.273	8.8
JH77	2024-02-2822:37:05.000	Leia_FC_06112022_0905.MP4 	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	709.680	709.680	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
JH77	2024-02-2822:37:05.000	Leia_FC_06112022_0905.MP4 	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	709.680	709.680	No focal subject	Dhb		1	244.0	244.0	NA	NA	NA	34.4
JH77	2024-02-2822:37:05.000	Leia_FC_06112022_0905.MP4 	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	709.680	709.680	No focal subject	Hab		1	246.92	246.92	NA	NA	NA	34.8
JH77	2024-02-2822:37:05.000	Leia_FC_06112022_0905.MP4 	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	709.680	709.680	No focal subject	Look	At speaker	36	NA	NA	NA	19.61	20.675	NA
JH77	2024-02-2822:37:05.000	Leia_FC_06112022_0905.MP4 	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	709.680	709.680	No focal subject	Look	Away from speaker	69	NA	NA	NA	9.271	13.957	NA
JH77	2024-02-2822:37:05.000	Leia_FC_06112022_0905.MP4 	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	709.680	709.680	No focal subject	Voc	Contact	46	NA	NA	NA	13.183	15.001	NA
JH77	2024-02-2822:37:05.000	Leia_FC_06112022_0905.MP4 	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	709.680	709.680	No focal subject	HSH		15	NA	NA	NA	36.126	69.71	NA
JH77	2024-02-2822:37:05.000	Leia_FC_06112022_0905.MP4 	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	709.680	709.680	No focal subject	Htlt		1	NA	NA	NA	NA	NA	NA
JH77	2024-02-2822:37:05.000	Leia_FC_06112022_0905.MP4 	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	709.680	709.680	No focal subject	FVO	Distance	15	NA	NA	NA	42.934	61.531	NA
JH77	2024-02-2822:37:05.000	Leia_FC_06112022_0905.MP4 	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	709.680	709.680	No focal subject	FVO	Other	1	NA	NA	NA	NA	NA	NA
JH77	2024-02-2822:37:05.000	Leia_FC_06112022_0905.MP4 	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	709.680	709.680	No focal subject	Eat	With kin	15	340.506	22.7	26.544	13.23	20.574	48.0
