Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Ass	Kin	1	720.0	720.0	NA	NA	NA	100.0
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Mov		0	0.0	NA	NA	NA	NA	0.0
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Dhb		1	245.72	245.72	NA	NA	NA	34.1
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Hab		1	276.2	276.2	NA	NA	NA	38.4
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Look	At speaker	32	NA	NA	NA	20.323	47.473	NA
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Look	Away from speaker	23	NA	NA	NA	10.129	16.544	NA
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Voc	Contact	7	NA	NA	NA	11.54	8.107	NA
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	HSH		1	NA	NA	NA	NA	NA	NA
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Htlt		11	NA	NA	NA	22.792	17.957	NA
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	FVO	Distance	24	NA	NA	NA	25.369	31.275	NA
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	FVO	Other	4	NA	NA	NA	5.467	2.087	NA
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Pre		0	0.0	NA	NA	NA	NA	0.0
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Rst	With kin	7	543.234	77.605	99.987	27.294	31.55	75.4
JM91	2024-03-0121:33:21.000	Leia_PRF_02112022_0927.MP4	Leia	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Vig	Mid neck	7	176.153	25.165	29.346	56.794	91.424	24.5
