Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	Ass	Kin	1	700.6	700.6	NA	NA	NA	100.0
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	Mov		0	0.0	NA	NA	NA	NA	0.0
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	Dhb		1	246.84	246.84	NA	NA	NA	35.2
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	Hab		1	245.4	245.4	NA	NA	NA	35.0
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	Look	At speaker	12	NA	NA	NA	36.08	54.56	NA
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	Look	Away from speaker	3	NA	NA	NA	220.24	66.072	NA
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	Voc	Contact	1	NA	NA	NA	NA	NA	NA
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	HSH		2	NA	NA	NA	1.68	NA	NA
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	Htlt		7	NA	NA	NA	42.673	55.523	NA
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	FVO	Distance	25	NA	NA	NA	28.055	37.806	NA
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	FVO	Other	6	NA	NA	NA	102.944	98.046	NA
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	Pre	With kin	2	15.399	7.7	2.857	6.001	NA	2.2
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	Rst	With kin	2	668.039	334.019	54.277	23.761	NA	95.4
KK12	2024-03-1015:46:43.000	Romy_PRF_13112022_0938.MP4 PRFP - edit out last phase	Romy	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	700.600	700.600	No focal subject	Vig	Mid neck	1	5.999	5.999	NA	NA	NA	0.9
