Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Ass	Kin	2	354.08	177.04	163.54	361.12	NA	49.5
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Fllw	Kin	2	NA	NA	NA	328.52	NA	NA
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Mov	Away from speaker	9	84.038	9.338	4.309	47.965	65.437	11.8
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Mov	Towards speaker	2	18.279	9.139	2.743	84.4	NA	2.6
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Dhb		1	245.28	245.28	NA	NA	NA	34.3
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Hab		1	253.6	253.6	NA	NA	NA	35.5
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Look	At speaker	106	NA	NA	NA	6.29	8.641	NA
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Look	Away from speaker	79	NA	NA	NA	8.128	15.106	NA
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Voc	Contact	10	NA	NA	NA	23.929	15.086	NA
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	HSH		13	NA	NA	NA	52.08	87.494	NA
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Htlt		7	NA	NA	NA	14.033	8.201	NA
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	FVO	Other	15	NA	NA	NA	46.089	58.98	NA
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	FVO	Distance	41	NA	NA	NA	15.315	36.762	NA
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Eat	Alone	6	93.634	15.606	10.516	7.865	2.218	13.1
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Eat	With kin	1	4.159	4.159	NA	NA	NA	0.6
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Pre	With kin	7	166.514	23.788	18.901	91.448	214.79	23.3
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Pre	Alone	2	41.598	20.799	10.748	7.561	NA	5.8
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Rst		0	0.0	NA	NA	NA	NA	0.0
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Vig	Short Neck	5	142.715	28.543	53.954	120.051	164.529	20.0
MR42	2024-03-1623:38:15.000	Kendo_FRF_17112022_0934.MP4	Kendo	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	5 m	0.000	715.200	715.200	No focal subject	Vig	Mid neck	11	253.83	23.075	33.508	26.137	41.23	35.5
