Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Ass	Kin	1	869.28	869.28	NA	NA	NA	100.0
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Fllw	Kin	2	NA	NA	NA	594.2	NA	NA
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Agn	Towards other	6	NA	NA	NA	133.896	264.072	NA
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Mov	Away from speaker	6	132.12	22.02	25.455	116.736	235.408	15.2
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Dhb		2	302.16	151.08	64.828	10.2	NA	34.8
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Hab		1	245.0	245.0	NA	NA	NA	28.2
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Look	At speaker	58	NA	NA	NA	13.035	27.575	NA
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Look	Away from speaker	65	NA	NA	NA	11.596	23.17	NA
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Voc	Contact	8	NA	NA	NA	7.549	10.489	NA
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Voc	Other	6	NA	NA	NA	26.312	35.77	NA
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	HSH		15	NA	NA	NA	47.846	70.117	NA
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Htlt		13	NA	NA	NA	61.517	57.985	NA
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	FVO	Other	74	NA	NA	NA	11.565	29.763	NA
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	FVO	Distance	20	NA	NA	NA	29.434	40.894	NA
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Pre	With kin	6	61.434	10.239	8.852	102.393	78.206	7.1
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Rst	With kin	4	454.997	113.749	48.362	86.334	15.793	52.3
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Vig	Long neck	4	50.716	12.679	5.533	202.134	281.936	5.8
RK76	2024-04-1612:49:07.000	Krummel_FRP_24102022_1027.MP4	Krummel	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	869.280	869.280	No focal subject	Vig	Mid neck	5	138.677	27.735	26.024	143.931	212.36	16.0
