Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
SQ17	2024-06-1902:37:53.000	Lotta_PRF_17112022_1039.MP4	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m	0.000	717.120	717.120	No focal subject	Ass	Kin	1	717.12	717.12	NA	NA	NA	100.0
SQ17	2024-06-1902:37:53.000	Lotta_PRF_17112022_1039.MP4	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m	0.000	717.120	717.120	No focal subject	Fllw	Kin	2	NA	NA	NA	18.2	NA	NA
SQ17	2024-06-1902:37:53.000	Lotta_PRF_17112022_1039.MP4	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m	0.000	717.120	717.120	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
SQ17	2024-06-1902:37:53.000	Lotta_PRF_17112022_1039.MP4	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m	0.000	717.120	717.120	No focal subject	Mov	Towards speaker	1	3.959	3.959	NA	NA	NA	0.6
SQ17	2024-06-1902:37:53.000	Lotta_PRF_17112022_1039.MP4	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m	0.000	717.120	717.120	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
SQ17	2024-06-1902:37:53.000	Lotta_PRF_17112022_1039.MP4	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m	0.000	717.120	717.120	No focal subject	Dhb		1	245.52	245.52	NA	NA	NA	34.2
SQ17	2024-06-1902:37:53.000	Lotta_PRF_17112022_1039.MP4	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m	0.000	717.120	717.120	No focal subject	Hab		1	252.08	252.08	NA	NA	NA	35.2
SQ17	2024-06-1902:37:53.000	Lotta_PRF_17112022_1039.MP4	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m	0.000	717.120	717.120	No focal subject	Look	Away from speaker	60	NA	NA	NA	11.37	16.522	NA
SQ17	2024-06-1902:37:53.000	Lotta_PRF_17112022_1039.MP4	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m	0.000	717.120	717.120	No focal subject	Look	At speaker	60	NA	NA	NA	10.357	18.381	NA
SQ17	2024-06-1902:37:53.000	Lotta_PRF_17112022_1039.MP4	Lotta	PRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Recruitment	2m	0.000	717.120	717.120	No focal subject	Voc	Contact	4	NA	NA	NA	174.0	147.168	NA
