Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Ass	Kin	1	672.64	672.64	NA	NA	NA	92.8
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Fllw	Kin	6	NA	NA	NA	127.568	156.587	NA
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Agn	Towards other	29	NA	NA	NA	15.537	25.505	NA
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Mov	Towards speaker	2	17.599	8.799	9.05	608.361	NA	2.4
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Mov	Away from speaker	8	238.239	29.78	29.71	66.909	80.514	32.9
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Dhb		1	242.6	242.6	NA	NA	NA	33.5
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Hab		1	251.4	251.4	NA	NA	NA	34.7
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Look	At speaker	96	NA	NA	NA	7.578	19.286	NA
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Look	Away from speaker	143	NA	NA	NA	4.956	4.934	NA
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Voc	Contact	21	NA	NA	NA	20.694	17.755	NA
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Voc	Other	6	NA	NA	NA	2.6	0.697	NA
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	HSH		5	NA	NA	NA	108.48	141.445	NA
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Htlt		7	NA	NA	NA	47.98	45.154	NA
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	FVO	Other	17	NA	NA	NA	36.13	67.291	NA
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	FVO	Distance	1	NA	NA	NA	NA	NA	NA
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Pre	With kin	2	58.678	29.339	34.592	3.321	NA	8.1
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Rst		0	0.0	NA	NA	NA	NA	0.0
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Vig	Short Neck	2	80.438	40.219	49.582	611.081	NA	11.1
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Vig	Mid neck	2	158.398	79.199	107.311	53.801	NA	21.8
TB26	2024-06-1915:08:47.000	Jurek_FRP2-06112022_0833.MP4	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.760	725.760	725.000	No focal subject	Vig	Long neck	2	425.079	212.54	256.622	5.161	NA	58.6
