Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
TT33	2024-06-2012:10:09.000	Olga_FRF_29102022_0940.MP4	Olga	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	723.840	723.840	No focal subject	Ass	Kin	4	263.8	65.95	60.343	153.347	140.819	36.4
TT33	2024-06-2012:10:09.000	Olga_FRF_29102022_0940.MP4	Olga	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	723.840	723.840	No focal subject	Fllw	Kin	8	NA	NA	NA	55.434	66.956	NA
TT33	2024-06-2012:10:09.000	Olga_FRF_29102022_0940.MP4	Olga	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	723.840	723.840	No focal subject	Agn	Towards other	6	NA	NA	NA	92.12	106.067	NA
TT33	2024-06-2012:10:09.000	Olga_FRF_29102022_0940.MP4	Olga	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	723.840	723.840	No focal subject	Mov	Away from speaker	12	233.353	19.446	14.376	43.422	67.592	32.2
TT33	2024-06-2012:10:09.000	Olga_FRF_29102022_0940.MP4	Olga	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	723.840	723.840	No focal subject	Mov	Towards speaker	2	19.518	9.759	3.394	527.081	NA	2.7
TT33	2024-06-2012:10:09.000	Olga_FRF_29102022_0940.MP4	Olga	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	723.840	723.840	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
TT33	2024-06-2012:10:09.000	Olga_FRF_29102022_0940.MP4	Olga	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	723.840	723.840	No focal subject	Dhb		1	246.0	246.0	NA	NA	NA	34.0
TT33	2024-06-2012:10:09.000	Olga_FRF_29102022_0940.MP4	Olga	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	723.840	723.840	No focal subject	Hab		1	248.36	248.36	NA	NA	NA	34.3
TT33	2024-06-2012:10:09.000	Olga_FRF_29102022_0940.MP4	Olga	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	723.840	723.840	No focal subject	Look	At speaker	35	NA	NA	NA	17.606	27.609	NA
TT33	2024-06-2012:10:09.000	Olga_FRF_29102022_0940.MP4	Olga	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	723.840	723.840	No focal subject	Look	Away from speaker	124	NA	NA	NA	5.758	11.187	NA
