Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	Ass	Kin	1	740.64	740.64	NA	NA	NA	100.0
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	Mov		0	0.0	NA	NA	NA	NA	0.0
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	Dhb		1	243.68	243.68	NA	NA	NA	32.9
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	Hab		1	244.0	244.0	NA	NA	NA	32.9
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	Look	At speaker	4	NA	NA	NA	54.84	21.721	NA
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	Look	Away from speaker	16	NA	NA	NA	29.195	62.115	NA
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	Voc		0	NA	NA	NA	NA	NA	NA
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	Htlt		7	NA	NA	NA	67.227	88.84	NA
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	FVO	Distance	1	NA	NA	NA	NA	NA	NA
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	FVO	Other	1	NA	NA	NA	NA	NA	NA
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	Pre	With kin	3	19.677	6.559	3.411	6.401	2.489	2.7
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	Rst	With kin	3	698.038	232.679	341.429	21.301	26.446	94.2
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	Vig	Mid neck	3	20.317	6.772	1.875	8.341	2.065	2.7
VM58	2024-06-2623:20:21.000	Lauffuss_FC_19102022_1145.MP4	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	740.640	740.640	No focal subject	Vig	Short Neck	1	2.599	2.599	NA	NA	NA	0.4
