Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	Ass	Kin	1	753.12	753.12	NA	NA	NA	100.0
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	Fllw	Kin	4	NA	NA	NA	137.213	21.057	NA
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	Mov	Away from speaker	5	114.597	22.919	9.876	84.24	41.17	15.2
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	Dhb		2	254.72	127.36	31.0	48.8	NA	33.8
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	Hab		1	251.64	251.64	NA	NA	NA	33.4
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	Look	Away from speaker	77	NA	NA	NA	9.696	18.818	NA
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	Look	At speaker	21	NA	NA	NA	21.38	38.348	NA
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	Voc	Contact	7	NA	NA	NA	92.227	76.095	NA
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	HSH		6	NA	NA	NA	51.288	77.297	NA
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	Htlt		2	NA	NA	NA	54.28	NA	NA
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	FVO	Other	15	NA	NA	NA	48.751	93.209	NA
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	FVO	Distance	7	NA	NA	NA	52.74	43.633	NA
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	Eat	With kin	3	336.277	112.092	69.825	27.041	22.401	44.7
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	Pre	With kin	4	48.558	12.14	7.267	88.814	128.092	6.4
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	Rst	With kin	1	25.759	25.759	NA	NA	NA	3.4
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	Vig	Mid neck	5	240.035	48.007	48.746	73.371	62.073	31.9
VZ39	2024-06-2714:13:25.000	Allegra_FC_17112022_1052.MP4	Allegra	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	753.120	753.120	No focal subject	Vig	Short Neck	3	95.677	31.892	18.543	38.821	18.47	12.7
