Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Ass	Kin	1	726.72	726.72	NA	NA	NA	100.0
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Mov		0	0.0	NA	NA	NA	NA	0.0
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Dhb		1	233.8	233.8	NA	NA	NA	32.2
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Hab		1	245.2	245.2	NA	NA	NA	33.7
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Look	At speaker	10	NA	NA	NA	75.044	104.569	NA
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Look	Away from speaker	31	NA	NA	NA	21.917	58.499	NA
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Voc	Distance	2	NA	NA	NA	2.52	NA	NA
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Voc	Other	1	NA	NA	NA	NA	NA	NA
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Voc	Contact	1	NA	NA	NA	NA	NA	NA
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	HSH		2	NA	NA	NA	427.28	NA	NA
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Htlt		1	NA	NA	NA	NA	NA	NA
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	FVO	Distance	32	NA	NA	NA	19.56	34.727	NA
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	FVO	Other	33	NA	NA	NA	18.124	24.128	NA
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Pre	With kin	10	143.031	14.303	11.417	64.854	101.01	19.7
ZP69	2024-07-1515:59:17.000	Batate_FRF_26102022_1001.MP4	Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Rst	With kin	3	488.517	162.839	111.376	50.361	43.445	67.2
