Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Allegra_FRF_20112022_0943	2024-03-01T10:21:36Z	Allegra_FRF_20112022_0943.MP4	692.72	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH79.MP4	0	695.52	25	Allegra	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	5 m	NA	Ass	Interaction	Kin	START	2.8	H:/Individual recognition vids/Blind videos/JH79.MP4	70	NA	NA
Allegra_FRF_20112022_0943	2024-03-01T10:21:36Z	Allegra_FRF_20112022_0943.MP4	692.72	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH79.MP4	0	695.52	25	Allegra	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	5 m	NA	Pre	Time budget	With kin	START	2.8	H:/Individual recognition vids/Blind videos/JH79.MP4	70	NA	NA
Allegra_FRF_20112022_0943	2024-03-01T10:21:36Z	Allegra_FRF_20112022_0943.MP4	692.72	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH79.MP4	0	695.52	25	Allegra	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	5 m	NA	Look	Reaction	At speaker	POINT	3.72	H:/Individual recognition vids/Blind videos/JH79.MP4	93	NA	NA
Allegra_FRF_20112022_0943	2024-03-01T10:21:36Z	Allegra_FRF_20112022_0943.MP4	692.72	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH79.MP4	0	695.52	25	Allegra	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	5 m	NA	Pre	Time budget	With kin	STOP	4.319	H:/Individual recognition vids/Blind videos/JH79.MP4	NA	NA	NA
Allegra_FRF_20112022_0943	2024-03-01T10:21:36Z	Allegra_FRF_20112022_0943.MP4	692.72	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH79.MP4	0	695.52	25	Allegra	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	5 m	NA	Vig	Time budget	Mid neck	START	4.32	H:/Individual recognition vids/Blind videos/JH79.MP4	108	NA	NA
Allegra_FRF_20112022_0943	2024-03-01T10:21:36Z	Allegra_FRF_20112022_0943.MP4	692.72	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH79.MP4	0	695.52	25	Allegra	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	5 m	NA	Look	Reaction	At speaker	POINT	5.24	H:/Individual recognition vids/Blind videos/JH79.MP4	131	NA	NA
Allegra_FRF_20112022_0943	2024-03-01T10:21:36Z	Allegra_FRF_20112022_0943.MP4	692.72	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH79.MP4	0	695.52	25	Allegra	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	5 m	NA	HSH	Reaction	NA	POINT	13.2	H:/Individual recognition vids/Blind videos/JH79.MP4	330	NA	NA
Allegra_FRF_20112022_0943	2024-03-01T10:21:36Z	Allegra_FRF_20112022_0943.MP4	692.72	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH79.MP4	0	695.52	25	Allegra	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	5 m	NA	Vig	Time budget	Mid neck	STOP	14.399	H:/Individual recognition vids/Blind videos/JH79.MP4	NA	NA	NA
Allegra_FRF_20112022_0943	2024-03-01T10:21:36Z	Allegra_FRF_20112022_0943.MP4	692.72	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH79.MP4	0	695.52	25	Allegra	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	5 m	NA	Rst	Time budget	With kin	START	14.4	H:/Individual recognition vids/Blind videos/JH79.MP4	360	NA	NA
Allegra_FRF_20112022_0943	2024-03-01T10:21:36Z	Allegra_FRF_20112022_0943.MP4	692.72	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH79.MP4	0	695.52	25	Allegra	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Recruitment	5 m	NA	Look	Reaction	At speaker	POINT	19.2	H:/Individual recognition vids/Blind videos/JH79.MP4	480	NA	NA
