Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Anthony_FC_08112022_0843	2024-03-11T12:17:40Z	Anthony_FC_08112022_0843.MP4	720.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/LG98.MP4	0	720.48	25	Anthony	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Rainy	KLF	Recruitment	2m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/LG98.MP4	0	NA	NA
Anthony_FC_08112022_0843	2024-03-11T12:17:40Z	Anthony_FC_08112022_0843.MP4	720.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/LG98.MP4	0	720.48	25	Anthony	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Rainy	KLF	Recruitment	2m	NA	Eat	Time budget	With kin	START	0	H:/Individual recognition vids/Blind videos/LG98.MP4	0	NA	NA
Anthony_FC_08112022_0843	2024-03-11T12:17:40Z	Anthony_FC_08112022_0843.MP4	720.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/LG98.MP4	0	720.48	25	Anthony	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Rainy	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	11.6	H:/Individual recognition vids/Blind videos/LG98.MP4	290	NA	NA
Anthony_FC_08112022_0843	2024-03-11T12:17:40Z	Anthony_FC_08112022_0843.MP4	720.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/LG98.MP4	0	720.48	25	Anthony	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Rainy	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	31.36	H:/Individual recognition vids/Blind videos/LG98.MP4	784	NA	NA
Anthony_FC_08112022_0843	2024-03-11T12:17:40Z	Anthony_FC_08112022_0843.MP4	720.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/LG98.MP4	0	720.48	25	Anthony	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Rainy	KLF	Recruitment	2m	NA	Eat	Time budget	With kin	STOP	32.439	H:/Individual recognition vids/Blind videos/LG98.MP4	NA	NA	NA
Anthony_FC_08112022_0843	2024-03-11T12:17:40Z	Anthony_FC_08112022_0843.MP4	720.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/LG98.MP4	0	720.48	25	Anthony	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Rainy	KLF	Recruitment	2m	NA	Vig	Time budget	Mid neck	START	32.44	H:/Individual recognition vids/Blind videos/LG98.MP4	811	NA	NA
Anthony_FC_08112022_0843	2024-03-11T12:17:40Z	Anthony_FC_08112022_0843.MP4	720.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/LG98.MP4	0	720.48	25	Anthony	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Rainy	KLF	Recruitment	2m	NA	HSH	Reaction	NA	POINT	33.76	H:/Individual recognition vids/Blind videos/LG98.MP4	844	NA	NA
Anthony_FC_08112022_0843	2024-03-11T12:17:40Z	Anthony_FC_08112022_0843.MP4	720.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/LG98.MP4	0	720.48	25	Anthony	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Rainy	KLF	Recruitment	2m	NA	Mov	Locomotion	Towards speaker	START	35.16	H:/Individual recognition vids/Blind videos/LG98.MP4	879	NA	NA
Anthony_FC_08112022_0843	2024-03-11T12:17:40Z	Anthony_FC_08112022_0843.MP4	720.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/LG98.MP4	0	720.48	25	Anthony	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Rainy	KLF	Recruitment	2m	NA	Mov	Locomotion	Towards speaker	STOP	40.199	H:/Individual recognition vids/Blind videos/LG98.MP4	NA	NA	NA
Anthony_FC_08112022_0843	2024-03-11T12:17:40Z	Anthony_FC_08112022_0843.MP4	720.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/LG98.MP4	0	720.48	25	Anthony	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Rainy	KLF	Recruitment	2m	NA	Vig	Time budget	Mid neck	STOP	40.199	H:/Individual recognition vids/Blind videos/LG98.MP4	NA	NA	NA
