Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Anthony_FRF_21112022_0930	2024-02-26T13:34:05Z	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0	767.52	25	Anthony	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/IR18.MP4	0	NA	NA
Anthony_FRF_21112022_0930	2024-02-26T13:34:05Z	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0	767.52	25	Anthony	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	0	H:/Individual recognition vids/Blind videos/IR18.MP4	0	NA	NA
Anthony_FRF_21112022_0930	2024-02-26T13:34:05Z	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0	767.52	25	Anthony	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Vig	Time budget	Mid neck	START	0	H:/Individual recognition vids/Blind videos/IR18.MP4	0	NA	NA
Anthony_FRF_21112022_0930	2024-02-26T13:34:05Z	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0	767.52	25	Anthony	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	1.72	H:/Individual recognition vids/Blind videos/IR18.MP4	43	NA	NA
Anthony_FRF_21112022_0930	2024-02-26T13:34:05Z	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0	767.52	25	Anthony	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	At speaker	POINT	5.76	H:/Individual recognition vids/Blind videos/IR18.MP4	144	NA	NA
Anthony_FRF_21112022_0930	2024-02-26T13:34:05Z	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0	767.52	25	Anthony	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	6.92	H:/Individual recognition vids/Blind videos/IR18.MP4	173	NA	NA
Anthony_FRF_21112022_0930	2024-02-26T13:34:05Z	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0	767.52	25	Anthony	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	10.88	H:/Individual recognition vids/Blind videos/IR18.MP4	272	NA	NA
Anthony_FRF_21112022_0930	2024-02-26T13:34:05Z	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0	767.52	25	Anthony	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	17.52	H:/Individual recognition vids/Blind videos/IR18.MP4	438	NA	NA
Anthony_FRF_21112022_0930	2024-02-26T13:34:05Z	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0	767.52	25	Anthony	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	FVO	Reaction	Distance	POINT	19.48	H:/Individual recognition vids/Blind videos/IR18.MP4	488	NA	NA
Anthony_FRF_21112022_0930	2024-02-26T13:34:05Z	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0	767.52	25	Anthony	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Vig	Time budget	Mid neck	STOP	23.399	H:/Individual recognition vids/Blind videos/IR18.MP4	NA	NA	NA
