Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Anthony_PRF_27102022_1108	2024-06-19T03:09:14Z	Anthony_PRF_27102022_1108.MP4	733.92	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0	733.92	25	Anthony	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/SX42.MP4	0	NA	NA
Anthony_PRF_27102022_1108	2024-06-19T03:09:14Z	Anthony_PRF_27102022_1108.MP4	733.92	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0	733.92	25	Anthony	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Eat	Time budget	With kin	START	0.36	H:/Individual recognition vids/Blind videos/SX42.MP4	9	NA	NA
Anthony_PRF_27102022_1108	2024-06-19T03:09:14Z	Anthony_PRF_27102022_1108.MP4	733.92	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0	733.92	25	Anthony	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	4.76	H:/Individual recognition vids/Blind videos/SX42.MP4	119	NA	NA
Anthony_PRF_27102022_1108	2024-06-19T03:09:14Z	Anthony_PRF_27102022_1108.MP4	733.92	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0	733.92	25	Anthony	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	19.44	H:/Individual recognition vids/Blind videos/SX42.MP4	486	NA	NA
Anthony_PRF_27102022_1108	2024-06-19T03:09:14Z	Anthony_PRF_27102022_1108.MP4	733.92	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0	733.92	25	Anthony	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	34.76	H:/Individual recognition vids/Blind videos/SX42.MP4	869	NA	NA
Anthony_PRF_27102022_1108	2024-06-19T03:09:14Z	Anthony_PRF_27102022_1108.MP4	733.92	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0	733.92	25	Anthony	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	55.56	H:/Individual recognition vids/Blind videos/SX42.MP4	1389	NA	NA
Anthony_PRF_27102022_1108	2024-06-19T03:09:14Z	Anthony_PRF_27102022_1108.MP4	733.92	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0	733.92	25	Anthony	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	56.48	H:/Individual recognition vids/Blind videos/SX42.MP4	1412	NA	NA
Anthony_PRF_27102022_1108	2024-06-19T03:09:14Z	Anthony_PRF_27102022_1108.MP4	733.92	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0	733.92	25	Anthony	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	65.56	H:/Individual recognition vids/Blind videos/SX42.MP4	1639	NA	NA
Anthony_PRF_27102022_1108	2024-06-19T03:09:14Z	Anthony_PRF_27102022_1108.MP4	733.92	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0	733.92	25	Anthony	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	65.8	H:/Individual recognition vids/Blind videos/SX42.MP4	1645	NA	NA
Anthony_PRF_27102022_1108	2024-06-19T03:09:14Z	Anthony_PRF_27102022_1108.MP4	733.92	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SX42.MP4	0	733.92	25	Anthony	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Hab	Playback phase	NA	START	101.44	H:/Individual recognition vids/Blind videos/SX42.MP4	2536	NA	NA
