Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Bernard_FC_09102022_0944	2024-01-03T19:55:18Z	Bernard_FC_09102022_0944.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CS40.MP4	0	742.08	25	Bernard	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/CS40.MP4	0	NA	NA
Bernard_FC_09102022_0944	2024-01-03T19:55:18Z	Bernard_FC_09102022_0944.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CS40.MP4	0	742.08	25	Bernard	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Rst	Time budget	With kin	START	0	H:/Individual recognition vids/Blind videos/CS40.MP4	0	NA	NA
Bernard_FC_09102022_0944	2024-01-03T19:55:18Z	Bernard_FC_09102022_0944.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CS40.MP4	0	742.08	25	Bernard	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Htlt	Reaction	NA	POINT	10.52	H:/Individual recognition vids/Blind videos/CS40.MP4	263	NA	NA
Bernard_FC_09102022_0944	2024-01-03T19:55:18Z	Bernard_FC_09102022_0944.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CS40.MP4	0	742.08	25	Bernard	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	10.52	H:/Individual recognition vids/Blind videos/CS40.MP4	263	NA	NA
Bernard_FC_09102022_0944	2024-01-03T19:55:18Z	Bernard_FC_09102022_0944.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CS40.MP4	0	742.08	25	Bernard	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	15.44	H:/Individual recognition vids/Blind videos/CS40.MP4	386	NA	NA
Bernard_FC_09102022_0944	2024-01-03T19:55:18Z	Bernard_FC_09102022_0944.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CS40.MP4	0	742.08	25	Bernard	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Htlt	Reaction	NA	POINT	16.12	H:/Individual recognition vids/Blind videos/CS40.MP4	403	NA	NA
Bernard_FC_09102022_0944	2024-01-03T19:55:18Z	Bernard_FC_09102022_0944.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CS40.MP4	0	742.08	25	Bernard	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	At speaker	POINT	95.36	H:/Individual recognition vids/Blind videos/CS40.MP4	2384	NA	NA
Bernard_FC_09102022_0944	2024-01-03T19:55:18Z	Bernard_FC_09102022_0944.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CS40.MP4	0	742.08	25	Bernard	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Hab	Playback phase	NA	START	125.72	H:/Individual recognition vids/Blind videos/CS40.MP4	3143	NA	NA
Bernard_FC_09102022_0944	2024-01-03T19:55:18Z	Bernard_FC_09102022_0944.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CS40.MP4	0	742.08	25	Bernard	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Htlt	Reaction	NA	POINT	350.4	H:/Individual recognition vids/Blind videos/CS40.MP4	8760	NA	NA
Bernard_FC_09102022_0944	2024-01-03T19:55:18Z	Bernard_FC_09102022_0944.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CS40.MP4	0	742.08	25	Bernard	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	352.12	H:/Individual recognition vids/Blind videos/CS40.MP4	8803	NA	NA
