Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Hera_FRF_23112022_1126	2024-06-23T01:09:27Z	Hera_FRF_23112022_1126.MP4	707.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UO91.MP4	0	707.52	25	Hera	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	1m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/UO91.MP4	0	NA	NA
Hera_FRF_23112022_1126	2024-06-23T01:09:27Z	Hera_FRF_23112022_1126.MP4	707.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UO91.MP4	0	707.52	25	Hera	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	1m	NA	Eat	Time budget	With kin	START	0	H:/Individual recognition vids/Blind videos/UO91.MP4	0	NA	NA
Hera_FRF_23112022_1126	2024-06-23T01:09:27Z	Hera_FRF_23112022_1126.MP4	707.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UO91.MP4	0	707.52	25	Hera	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	6.96	H:/Individual recognition vids/Blind videos/UO91.MP4	174	NA	NA
Hera_FRF_23112022_1126	2024-06-23T01:09:27Z	Hera_FRF_23112022_1126.MP4	707.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UO91.MP4	0	707.52	25	Hera	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	51.96	H:/Individual recognition vids/Blind videos/UO91.MP4	1299	NA	NA
Hera_FRF_23112022_1126	2024-06-23T01:09:27Z	Hera_FRF_23112022_1126.MP4	707.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UO91.MP4	0	707.52	25	Hera	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	1m	NA	Agn	Interaction	Towards other	POINT	52.6	H:/Individual recognition vids/Blind videos/UO91.MP4	1315	NA	NA
Hera_FRF_23112022_1126	2024-06-23T01:09:27Z	Hera_FRF_23112022_1126.MP4	707.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UO91.MP4	0	707.52	25	Hera	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	1m	NA	Agn	Interaction	Towards other	POINT	74.96	H:/Individual recognition vids/Blind videos/UO91.MP4	1874	NA	NA
Hera_FRF_23112022_1126	2024-06-23T01:09:27Z	Hera_FRF_23112022_1126.MP4	707.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UO91.MP4	0	707.52	25	Hera	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	74.96	H:/Individual recognition vids/Blind videos/UO91.MP4	1874	NA	NA
Hera_FRF_23112022_1126	2024-06-23T01:09:27Z	Hera_FRF_23112022_1126.MP4	707.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UO91.MP4	0	707.52	25	Hera	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	1m	NA	Eat	Time budget	With kin	STOP	90.199	H:/Individual recognition vids/Blind videos/UO91.MP4	NA	NA	NA
Hera_FRF_23112022_1126	2024-06-23T01:09:27Z	Hera_FRF_23112022_1126.MP4	707.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UO91.MP4	0	707.52	25	Hera	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	1m	NA	Vig	Time budget	Long neck	START	90.2	H:/Individual recognition vids/Blind videos/UO91.MP4	2255	NA	NA
Hera_FRF_23112022_1126	2024-06-23T01:09:27Z	Hera_FRF_23112022_1126.MP4	707.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UO91.MP4	0	707.52	25	Hera	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	1m	NA	Mov	Locomotion	Away from speaker	START	91.28	H:/Individual recognition vids/Blind videos/UO91.MP4	2282	NA	NA
Hera_FRF_23112022_1126	2024-06-23T01:09:27Z	Hera_FRF_23112022_1126.MP4	707.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UO91.MP4	0	707.52	25	Hera	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	92.56	H:/Individual recognition vids/Blind videos/UO91.MP4	2314	NA	NA
Hera_FRF_23112022_1126	2024-06-23T01:09:27Z	Hera_FRF_23112022_1126.MP4	707.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UO91.MP4	0	707.52	25	Hera	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	1m	NA	Mov	Locomotion	Away from speaker	STOP	93.08	H:/Individual recognition vids/Blind videos/UO91.MP4	2327	NA	NA
Hera_FRF_23112022_1126	2024-06-23T01:09:27Z	Hera_FRF_23112022_1126.MP4	707.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UO91.MP4	0	707.52	25	Hera	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	93.76	H:/Individual recognition vids/Blind videos/UO91.MP4	2344	NA	NA
Hera_FRF_23112022_1126	2024-06-23T01:09:27Z	Hera_FRF_23112022_1126.MP4	707.52	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UO91.MP4	0	707.52	25	Hera	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	1m	NA	Hab	Playback phase	NA	START	93.77	H:/Individual recognition vids/Blind videos/UO91.MP4	2382	NA	NA
