Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Joe_FRF_26102022_1035	2024-01-21T17:30:34Z	Joe_FRF_26102022_1035.MP4	725.28	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DX39.MP4	0	725.28	25	Joe	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/DX39.MP4	0	NA	NA
Joe_FRF_26102022_1035	2024-01-21T17:30:34Z	Joe_FRF_26102022_1035.MP4	725.28	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DX39.MP4	0	725.28	25	Joe	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Pre	Time budget	With kin	START	0	H:/Individual recognition vids/Blind videos/DX39.MP4	0	NA	NA
Joe_FRF_26102022_1035	2024-01-21T17:30:34Z	Joe_FRF_26102022_1035.MP4	725.28	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DX39.MP4	0	725.28	25	Joe	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	34.72	H:/Individual recognition vids/Blind videos/DX39.MP4	868	NA	NA
Joe_FRF_26102022_1035	2024-01-21T17:30:34Z	Joe_FRF_26102022_1035.MP4	725.28	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DX39.MP4	0	725.28	25	Joe	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	39.84	H:/Individual recognition vids/Blind videos/DX39.MP4	996	NA	NA
Joe_FRF_26102022_1035	2024-01-21T17:30:34Z	Joe_FRF_26102022_1035.MP4	725.28	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DX39.MP4	0	725.28	25	Joe	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	At speaker	POINT	61.96	H:/Individual recognition vids/Blind videos/DX39.MP4	1549	NA	NA
Joe_FRF_26102022_1035	2024-01-21T17:30:34Z	Joe_FRF_26102022_1035.MP4	725.28	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DX39.MP4	0	725.28	25	Joe	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	63.88	H:/Individual recognition vids/Blind videos/DX39.MP4	1597	NA	NA
Joe_FRF_26102022_1035	2024-01-21T17:30:34Z	Joe_FRF_26102022_1035.MP4	725.28	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DX39.MP4	0	725.28	25	Joe	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	70.92	H:/Individual recognition vids/Blind videos/DX39.MP4	1773	NA	NA
Joe_FRF_26102022_1035	2024-01-21T17:30:34Z	Joe_FRF_26102022_1035.MP4	725.28	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DX39.MP4	0	725.28	25	Joe	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	96.92	H:/Individual recognition vids/Blind videos/DX39.MP4	2423	NA	NA
Joe_FRF_26102022_1035	2024-01-21T17:30:34Z	Joe_FRF_26102022_1035.MP4	725.28	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DX39.MP4	0	725.28	25	Joe	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Pre	Time budget	With kin	STOP	97.879	H:/Individual recognition vids/Blind videos/DX39.MP4	NA	NA	NA
Joe_FRF_26102022_1035	2024-01-21T17:30:34Z	Joe_FRF_26102022_1035.MP4	725.28	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DX39.MP4	0	725.28	25	Joe	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Vig	Time budget	Short Neck	START	97.88	H:/Individual recognition vids/Blind videos/DX39.MP4	2447	NA	NA
