Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Joe_PRF_24102022_1058	2024-03-15T20:03:03Z	Joe_PRF_24102022_1058.MP4	911.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ML27.MP4	0	911.04	25	Joe	PRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/ML27.MP4	0	NA	NA
Joe_PRF_24102022_1058	2024-03-15T20:03:03Z	Joe_PRF_24102022_1058.MP4	911.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ML27.MP4	0	911.04	25	Joe	PRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Rst	Time budget	With kin	START	0	H:/Individual recognition vids/Blind videos/ML27.MP4	0	NA	NA
Joe_PRF_24102022_1058	2024-03-15T20:03:03Z	Joe_PRF_24102022_1058.MP4	911.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ML27.MP4	0	911.04	25	Joe	PRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Htlt	Reaction	NA	POINT	2.48	H:/Individual recognition vids/Blind videos/ML27.MP4	62	NA	NA
Joe_PRF_24102022_1058	2024-03-15T20:03:03Z	Joe_PRF_24102022_1058.MP4	911.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ML27.MP4	0	911.04	25	Joe	PRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	2.48	H:/Individual recognition vids/Blind videos/ML27.MP4	62	NA	NA
Joe_PRF_24102022_1058	2024-03-15T20:03:03Z	Joe_PRF_24102022_1058.MP4	911.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ML27.MP4	0	911.04	25	Joe	PRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	5.12	H:/Individual recognition vids/Blind videos/ML27.MP4	128	NA	NA
Joe_PRF_24102022_1058	2024-03-15T20:03:03Z	Joe_PRF_24102022_1058.MP4	911.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ML27.MP4	0	911.04	25	Joe	PRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Rst	Time budget	With kin	STOP	10.959	H:/Individual recognition vids/Blind videos/ML27.MP4	NA	NA	NA
Joe_PRF_24102022_1058	2024-03-15T20:03:03Z	Joe_PRF_24102022_1058.MP4	911.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ML27.MP4	0	911.04	25	Joe	PRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Pre	Time budget	With kin	START	10.96	H:/Individual recognition vids/Blind videos/ML27.MP4	274	NA	NA
Joe_PRF_24102022_1058	2024-03-15T20:03:03Z	Joe_PRF_24102022_1058.MP4	911.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ML27.MP4	0	911.04	25	Joe	PRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	14.96	H:/Individual recognition vids/Blind videos/ML27.MP4	374	NA	NA
Joe_PRF_24102022_1058	2024-03-15T20:03:03Z	Joe_PRF_24102022_1058.MP4	911.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ML27.MP4	0	911.04	25	Joe	PRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Pre	Time budget	With kin	STOP	16.359	H:/Individual recognition vids/Blind videos/ML27.MP4	NA	NA	NA
Joe_PRF_24102022_1058	2024-03-15T20:03:03Z	Joe_PRF_24102022_1058.MP4	911.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ML27.MP4	0	911.04	25	Joe	PRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Short Neck	START	16.36	H:/Individual recognition vids/Blind videos/ML27.MP4	409	NA	NA
