Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	0.76	H:/Individual recognition vids/Blind videos/PQ37.MP4	19	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Short Neck	START	0.76	H:/Individual recognition vids/Blind videos/PQ37.MP4	19	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	1.92	H:/Individual recognition vids/Blind videos/PQ37.MP4	48	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	5.24	H:/Individual recognition vids/Blind videos/PQ37.MP4	131	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	7.88	H:/Individual recognition vids/Blind videos/PQ37.MP4	197	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	9	H:/Individual recognition vids/Blind videos/PQ37.MP4	225	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	10.4	H:/Individual recognition vids/Blind videos/PQ37.MP4	260	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	14.68	H:/Individual recognition vids/Blind videos/PQ37.MP4	367	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Short Neck	STOP	15.919	H:/Individual recognition vids/Blind videos/PQ37.MP4	NA	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Eat	Time budget	With kin	START	15.92	H:/Individual recognition vids/Blind videos/PQ37.MP4	398	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	26.28	H:/Individual recognition vids/Blind videos/PQ37.MP4	657	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	27.36	H:/Individual recognition vids/Blind videos/PQ37.MP4	684	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	29.64	H:/Individual recognition vids/Blind videos/PQ37.MP4	741	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Eat	Time budget	With kin	STOP	30.599	H:/Individual recognition vids/Blind videos/PQ37.MP4	NA	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Short Neck	START	30.6	H:/Individual recognition vids/Blind videos/PQ37.MP4	765	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	31.2	H:/Individual recognition vids/Blind videos/PQ37.MP4	780	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	32	H:/Individual recognition vids/Blind videos/PQ37.MP4	800	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Short Neck	STOP	33.119	H:/Individual recognition vids/Blind videos/PQ37.MP4	NA	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	START	33.12	H:/Individual recognition vids/Blind videos/PQ37.MP4	828	NA	NA
Jumper_FC_13102022_0941	2024-04-10T23:15:22Z	Jumper_FC_13102022_0941.MP4	746.6	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	0	747.36	25	Jumper	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	34.4	H:/Individual recognition vids/Blind videos/PQ37.MP4	860	NA	NA
