Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Jumper_FRP_15112022_1049	2024-02-23T23:26:57Z	Jumper_FRP_15112022_1049.MP4	745.88	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0	746.88	25	Jumper	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Ass	Interaction	Kin	START	1	H:/Individual recognition vids/Blind videos/GZ48.MP4	25	NA	NA
Jumper_FRP_15112022_1049	2024-02-23T23:26:57Z	Jumper_FRP_15112022_1049.MP4	745.88	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0	746.88	25	Jumper	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Rst	Time budget	With kin	START	1	H:/Individual recognition vids/Blind videos/GZ48.MP4	25	NA	NA
Jumper_FRP_15112022_1049	2024-02-23T23:26:57Z	Jumper_FRP_15112022_1049.MP4	745.88	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0	746.88	25	Jumper	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	16.24	H:/Individual recognition vids/Blind videos/GZ48.MP4	406	NA	NA
Jumper_FRP_15112022_1049	2024-02-23T23:26:57Z	Jumper_FRP_15112022_1049.MP4	745.88	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0	746.88	25	Jumper	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	27.08	H:/Individual recognition vids/Blind videos/GZ48.MP4	677	NA	NA
Jumper_FRP_15112022_1049	2024-02-23T23:26:57Z	Jumper_FRP_15112022_1049.MP4	745.88	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0	746.88	25	Jumper	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	FVO	Reaction	Other	POINT	63.8	H:/Individual recognition vids/Blind videos/GZ48.MP4	1595	NA	NA
Jumper_FRP_15112022_1049	2024-02-23T23:26:57Z	Jumper_FRP_15112022_1049.MP4	745.88	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0	746.88	25	Jumper	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Hab	Playback phase	NA	START	141.2	H:/Individual recognition vids/Blind videos/GZ48.MP4	3530	NA	NA
Jumper_FRP_15112022_1049	2024-02-23T23:26:57Z	Jumper_FRP_15112022_1049.MP4	745.88	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0	746.88	25	Jumper	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Hab	Playback phase	NA	STOP	394.04	H:/Individual recognition vids/Blind videos/GZ48.MP4	9851	NA	NA
Jumper_FRP_15112022_1049	2024-02-23T23:26:57Z	Jumper_FRP_15112022_1049.MP4	745.88	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0	746.88	25	Jumper	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Dhb	Playback phase	NA	START	441.6	H:/Individual recognition vids/Blind videos/GZ48.MP4	11040	NA	NA
Jumper_FRP_15112022_1049	2024-02-23T23:26:57Z	Jumper_FRP_15112022_1049.MP4	745.88	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0	746.88	25	Jumper	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	446.64	H:/Individual recognition vids/Blind videos/GZ48.MP4	11166	NA	NA
Jumper_FRP_15112022_1049	2024-02-23T23:26:57Z	Jumper_FRP_15112022_1049.MP4	745.88	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0	746.88	25	Jumper	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Voc	Reaction	Contact	POINT	513.24	H:/Individual recognition vids/Blind videos/GZ48.MP4	12831	NA	NA
