Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Jurek_FC_13102022_1047	2024-03-01T20:55:15Z	Jurek_FC_13102022_1047.MP4	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JI99.MP4	0	723.36	25	Jurek	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/JI99.MP4	0	NA	NA
Jurek_FC_13102022_1047	2024-03-01T20:55:15Z	Jurek_FC_13102022_1047.MP4	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JI99.MP4	0	723.36	25	Jurek	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	START	0	H:/Individual recognition vids/Blind videos/JI99.MP4	0	NA	NA
Jurek_FC_13102022_1047	2024-03-01T20:55:15Z	Jurek_FC_13102022_1047.MP4	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JI99.MP4	0	723.36	25	Jurek	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	4.08	H:/Individual recognition vids/Blind videos/JI99.MP4	102	NA	NA
Jurek_FC_13102022_1047	2024-03-01T20:55:15Z	Jurek_FC_13102022_1047.MP4	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JI99.MP4	0	723.36	25	Jurek	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	5.36	H:/Individual recognition vids/Blind videos/JI99.MP4	134	NA	NA
Jurek_FC_13102022_1047	2024-03-01T20:55:15Z	Jurek_FC_13102022_1047.MP4	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JI99.MP4	0	723.36	25	Jurek	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	9.24	H:/Individual recognition vids/Blind videos/JI99.MP4	231	NA	NA
Jurek_FC_13102022_1047	2024-03-01T20:55:15Z	Jurek_FC_13102022_1047.MP4	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JI99.MP4	0	723.36	25	Jurek	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	10.24	H:/Individual recognition vids/Blind videos/JI99.MP4	257	NA	NA
Jurek_FC_13102022_1047	2024-03-01T20:55:15Z	Jurek_FC_13102022_1047.MP4	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JI99.MP4	0	723.36	25	Jurek	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	10.88	H:/Individual recognition vids/Blind videos/JI99.MP4	272	NA	NA
Jurek_FC_13102022_1047	2024-03-01T20:55:15Z	Jurek_FC_13102022_1047.MP4	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JI99.MP4	0	723.36	25	Jurek	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	12.08	H:/Individual recognition vids/Blind videos/JI99.MP4	302	NA	NA
Jurek_FC_13102022_1047	2024-03-01T20:55:15Z	Jurek_FC_13102022_1047.MP4	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JI99.MP4	0	723.36	25	Jurek	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	13.8	H:/Individual recognition vids/Blind videos/JI99.MP4	345	NA	NA
Jurek_FC_13102022_1047	2024-03-01T20:55:15Z	Jurek_FC_13102022_1047.MP4	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JI99.MP4	0	723.36	25	Jurek	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	14.96	H:/Individual recognition vids/Blind videos/JI99.MP4	374	NA	NA
